#{"t_start": 1623226133.8197703, "env_id": "mario_puzzle-v0"}
r,l,t
3.707777,5,17.299874
0,1,23.167104
6.899227,9,48.784214
5.306256,7,70.599819
4.988039,7,91.757827
6.014644,8,108.997918
40.121816,51,242.043973
6.99758,10,264.334018
17.19118,22,322.468105
9.390101,12,354.810692
0,1,355.679062
9.232444,12,390.418275
4.497165,6,406.231947
6.13855,8,423.909109
11.716224,15,460.675528
5.203882,7,483.586327
7.224498,10,511.327032
4.487271,6,522.339131
2.839733,4,531.164498
15.794566,20,578.098805
5.211107,7,597.073127
14.677123,19,654.293504
10.50023,14,691.905402
10.057109,13,727.082554
3.565406,5,739.212313
16.428301,21,793.89091
19.208459,25,854.348062
7.673309,10,882.965505
1.95,3,888.374714
1.0,2,891.741678
5.809952,8,910.848674
7.475413,10,933.657318
21.142549,27,999.072515
14.03982,18,1050.165605
12.478977,16,1094.048123
10.154625,13,1129.941514
10.122642,13,1162.851596
12.12885,16,1206.110001
15.089156,19,1257.074762
8.840665,12,1283.212628
11.65318,15,1319.643421
6.792052,9,1347.362535
14.510329,19,1400.563674
18.67545,24,1461.047246
4.470629,6,1476.956151
7.780949,10,1503.995303
19.742454,25,1578.871309
0,1,1584.396809
18.474699,24,1647.193835
0.620914,2,1654.721605
1.926018,3,1660.109516
12.912297,17,1705.636632
0,1,1706.757268
16.457885,21,1766.481575
1.95,3,1774.828057
20.042077,26,1843.33711
9.099893,12,1875.983051
23.26156,29,1949.099787
3.712717,5,1961.351533
5.184872,7,1984.010342
6.162761,8,2009.760991
12.639233,16,2057.193542
1.762058,3,2064.688869
0,1,2068.540885
4.875343,7,2090.224484
24.340941,31,2165.810135
4.498005,6,2176.37729
26.690117,34,2269.670291
0,1,2272.890017
11.494642,15,2308.65188
0.852423,2,2313.293905
0,1,2318.277677
1.846506,3,2326.164791
6.768454,9,2345.362916
13.367756,17,2392.151775
1.934896,3,2399.233043
0,1,2403.227866
2.668117,4,2415.730517
1.0,2,2422.029808
7.695867,10,2448.358352
20.019199,26,2508.971838
47.004698,59,2663.668147
6.160177,8,2690.349097
4.458874,6,2707.583284
1.0,2,2713.85915
12.652031,16,2764.235486
3.703313,5,2780.400237
17.231895,22,2842.798745
29.207197,37,2936.529452
11.783283,15,2975.370541
4.723401,7,2994.39086
0,1,2996.638663
4.446006,6,3012.554857
1.940083,3,3019.611579
10.129218,13,3056.891775
2.819484,4,3068.803325
4.46597,6,3080.495207
15.794996,20,3129.883575
19.069289,24,3191.72206
32.959693,42,3300.060051
1.949996,3,3307.102101
1.95,3,3315.289768
26.212129,33,3404.443468
9.016361,12,3436.283691
29.965486,38,3532.964342
8.188606,11,3558.946874
16.547987,22,3614.940259
1.949941,3,3621.950513
17.910184,23,3673.948529
5.34921,7,3692.806953
1.679517,3,3704.195582
7.564523,10,3730.922096
