#{"t_start": 1623226133.7530043, "env_id": "mario_puzzle-v0"}
r,l,t
1.918061,3,12.821966
1.95,3,21.164337
11.689011,15,69.388796
17.413341,22,126.517929
3.673707,5,138.458791
6.002622,8,160.095016
36.033481,46,275.112426
17.868344,23,337.029006
42.155303,53,472.337567
24.8608,32,555.398112
3.548874,5,567.844527
6.127835,8,582.569897
10.856277,14,620.227565
2.848315,4,630.802749
5.925636,8,662.072371
10.688414,14,695.149293
9.875688,13,732.771875
15.716904,20,784.771889
23.962165,30,860.317348
1.760981,3,870.782144
4.512284,6,882.947042
7.716158,10,903.630363
15.22405,20,949.696118
19.029006,24,1009.001566
5.330495,7,1029.183186
0,1,1034.495969
0,1,1037.478716
33.421077,42,1148.227319
0,1,1150.49176
6.142086,8,1171.757032
4.174903,6,1187.73406
4.518108,6,1205.462557
5.240067,7,1229.125405
3.709839,5,1240.607999
12.721194,17,1278.12157
10.83637,14,1312.117375
13.355206,17,1363.434882
10.115983,13,1397.049946
7.636105,10,1425.055032
3.385655,5,1436.606
15.832662,20,1490.772198
24.657866,31,1578.979937
20.416876,26,1651.890686
1.91807,3,1658.312306
27.322078,35,1749.529909
5.157172,7,1772.014026
1.949471,3,1779.1781
1.922938,3,1786.37477
13.416798,17,1829.626397
0,1,1831.643421
1.0,2,1839.901547
0,1,1841.122621
1.868943,3,1848.902689
10.789761,14,1887.297378
2.853331,4,1896.446476
0,1,1899.627283
8.851138,12,1925.686683
0.969702,2,1934.043984
3.605466,5,1946.617218
7.735159,10,1976.972365
1.937089,3,1985.177428
1.0,2,1992.425956
0,1,1996.605152
16.772591,22,2061.077321
1.95,3,2073.272899
12.566861,16,2114.117262
0.997518,2,2118.283489
1.930151,3,2125.014858
22.643,29,2197.500508
9.29971,12,2233.324096
8.492576,11,2260.850776
6.938526,9,2283.211863
8.448745,11,2309.862222
28.5048,36,2404.474812
9.392759,12,2438.067034
2.830474,4,2450.288295
2.853333,4,2459.258629
3.510604,5,2471.224917
9.307659,12,2498.031987
11.735737,15,2533.690837
9.022317,12,2566.142678
9.367676,12,2603.186487
8.284448,11,2627.64516
18.199994,23,2692.313495
15.742624,20,2756.552579
1.916241,3,2766.439575
7.368934,10,2792.65975
3.699553,5,2812.323051
13.43554,17,2852.855108
1.95,3,2861.595631
3.684789,5,2874.564512
0.987109,2,2881.115056
6.958224,9,2909.64527
17.123744,22,2961.49116
33.34035,42,3071.621904
19.692644,25,3132.834641
13.370898,17,3175.604163
1.95,3,3183.596355
4.447406,6,3198.904379
0.945152,2,3206.480242
1.0,2,3209.836292
14.289849,18,3257.594709
3.702845,5,3269.359343
0.992305,2,3274.070836
10.440871,14,3310.379737
2.774379,4,3319.730752
17.294765,22,3378.472663
1.949176,3,3384.275388
1.937138,3,3397.313215
13.560359,18,3445.031604
21.232418,27,3511.907022
0,1,3516.914977
9.746134,13,3547.439453
1.95,3,3555.428917
20.693865,26,3620.874601
6.944152,9,3638.817107
6.067933,8,3660.850273
19.961237,26,3728.747677
24.314074,31,3804.819452
4.190754,6,3821.103848
5.281465,7,3838.438068
30.511886,39,3937.560932
21.986809,28,4008.954039
3.648055,5,4024.18071
0,1,4026.548201
21.353384,27,4096.418001
7.775027,10,4123.173676
13.11715,17,4167.896795
0.999819,2,4172.461632
0.999353,2,4181.745455
13.959522,18,4236.567778
4.226417,6,4252.178269
10.072628,13,4289.96585
1.949996,3,4296.383376
18.872182,24,4357.34853
2.85324,4,4368.357832
10.057078,13,4408.539152
14.223305,18,4454.712043
2.841693,4,4464.461989
3.461705,5,4483.029786
46.829023,59,4634.838488
1.95,3,4642.111826
0,1,4644.088452
8.506523,11,4674.75543
6.524197,9,4698.136703
1.746014,3,4706.059591
6.821215,9,4726.883637
23.040748,29,4798.322361
0,1,4799.598224
0,1,4802.158253
10.920823,14,4841.91862
7.272314,10,4867.498776
10.94189,14,4902.614298
0,1,4905.346223
4.42666,6,4926.317281
3.669922,5,4946.094703
4.441451,6,4963.943703
14.016706,18,5017.455057
19.345891,25,5080.178258
2.454767,4,5089.771062
9.035668,12,5115.594874
4.511559,6,5130.623159
5.268547,7,5150.490495
1.662869,3,5158.124181
4.448901,6,5174.063679
0.999328,2,5180.392736
0,1,5185.067425
1.949331,3,5192.521494
8.724333,12,5224.167525
38.597785,49,5353.549174
12.556032,16,5395.856366
5.137787,7,5412.318501
0,1,5413.981043
9.936901,13,5443.4105
1.0,2,5446.812278
19.43542,25,5524.360948
11.038582,14,5556.78005
3.58199,5,5567.564481
8.303126,11,5596.584976
5.273634,7,5617.464164
14.975507,19,5666.926976
0,1,5668.079653
1.945794,3,5677.568145
6.832361,9,5699.142219
0,1,5700.945656
3.712905,5,5716.463622
10.190951,13,5743.834512
7.782992,10,5775.76862
3.548948,5,5785.529701
13.997228,18,5827.142326
34.051878,43,5925.795378
3.593221,5,5935.232448
19.013628,24,5989.714052
20.275312,26,6058.243154
22.938312,29,6126.837357
1.0,2,6130.615955
1.931163,3,6138.032554
9.037666,12,6171.960164
7.632587,10,6199.983035
0,1,6201.996044
3.712914,5,6210.996703
3.454738,5,6222.760223
1.948285,3,6230.368611
9.191329,12,6267.087007
10.935694,14,6303.004313
3.646305,5,6317.010364
25.842785,33,6409.289232
53.345349,67,6579.712853
6.638077,9,6601.227139
45.425821,57,6749.161057
13.162572,17,6785.445144
7.583115,10,6811.654003
7.642615,10,6834.764313
54.584585,69,6998.081914
0,1,7004.614556
1.0,2,7011.16665
12.398474,16,7055.635574
4.528448,6,7077.664871
37.177016,47,7188.381056
2.843884,4,7199.217865
38.477395,49,7332.237554
0,1,7335.109497
40.339064,51,7471.685083
0,1,7473.77458
5.004522,7,7491.344803
0,1,7492.552579
0,1,7494.743113
1.767154,3,7499.300921
0,1,7503.786404
0,1,7506.516922
11.946977,16,7542.512851
35.141162,45,7660.885884
17.277027,22,7714.031287
17.429931,22,7769.189167
28.556347,36,7865.618134
3.632911,5,7877.864604
10.730583,14,7913.365252
0,1,7915.057357
24.30641,31,7990.263368
6.057992,8,8008.472375
31.54658,40,8114.443711
2.645344,4,8122.737336
1.791115,3,8128.896936
6.972743,10,8158.671259
14.668882,19,8206.783922
3.655937,5,8219.793442
5.340401,7,8238.604426
2.655765,4,8248.667238
6.069217,8,8269.334774
20.639315,26,8343.691073
6.85775,9,8374.113576
1.95,3,8384.964038
3.704849,5,8394.901775
1.309899,3,8403.850108
30.950802,40,8503.353771
32.981598,43,8611.283135
0,1,8614.405585
0,1,8616.523624
15.459037,20,8664.751252
2.823981,4,8674.577514
26.081413,33,8761.284438
20.855214,27,8827.176451
20.067368,26,8889.348506
5.140531,7,8906.875443
11.694183,15,8946.3668
9.24671,12,8979.231557
21.72725,28,9045.602187
7.732501,10,9067.513807
10.833373,14,9103.781264
1.946929,3,9111.606703
43.578574,55,9238.791848
6.018627,8,9262.289832
1.843584,3,9271.217164
13.252279,17,9309.756332
25.900718,33,9395.250016
48.027537,60,9554.746933
22.016669,28,9620.182788
3.713083,5,9632.291924
22.07001,28,9705.053338
6.702696,9,9729.090922
18.617146,24,9785.261499
8.388452,11,9814.476132
12.144905,16,9854.925149
9.747205,13,9882.615767
16.666002,22,9934.201558
1.0,2,9937.511508
27.628847,35,10018.983906
10.399498,14,10053.149801
4.810214,7,10069.53966
31.067329,40,10167.601451
16.95345,22,10219.433326
65.389538,82,10426.053549
79.142849,99,10662.053591
10.156421,13,10693.173682
35.369524,45,10804.334011
36.355578,46,10910.865028
18.05488,23,10961.787556
20.501421,27,11021.004186
