#{"t_start": 1623226133.179885, "env_id": "mario_puzzle-v0"}
r,l,t
4.457764,6,23.449875
6.112704,8,46.325949
0,1,51.448681
9.196389,12,89.574413
15.675829,20,135.114476
12.278783,16,181.09585
18.078225,23,236.817727
5.274806,7,253.766434
0,1,255.775605
2.853333,4,264.590206
4.489721,6,279.818088
57.30997,73,470.459505
1.932432,3,480.750327
1.949856,3,488.242556
2.842571,4,501.871428
7.786069,10,522.752596
9.260203,12,549.747054
7.440318,10,574.489362
10.161321,13,609.941151
5.28149,7,627.115037
1.846239,3,632.834773
1.916885,3,642.866536
20.210133,26,721.732347
7.774684,10,747.320601
13.933877,18,791.737751
7.539057,10,815.874407
0,1,817.645848
11.64142,15,854.49327
1.0,2,864.459274
26.866711,34,940.878695
6.771562,9,960.191183
9.952774,13,995.306035
16.140995,21,1052.188189
4.381798,6,1068.459044
0.980877,2,1074.968801
25.966845,33,1160.961362
7.737352,10,1189.152753
10.042708,13,1228.002928
11.491412,15,1262.46053
18.432207,24,1320.586253
8.132352,11,1355.754502
2.853333,4,1365.221833
19.297337,25,1433.109715
5.923263,8,1451.268004
5.966897,8,1472.673982
7.773072,10,1497.807714
5.262169,7,1519.273657
29.540211,37,1627.709851
9.153996,12,1658.995852
1.0,2,1664.251503
4.516394,6,1678.411288
8.471274,11,1708.038698
4.285923,6,1721.336247
0,1,1724.123539
6.870371,9,1750.382337
17.167188,22,1806.454356
17.37906,22,1870.005739
22.99306,30,1944.947842
0,1,1947.211409
1.949886,3,1956.149363
4.519228,6,1975.7657
6.095166,8,2000.449543
10.927744,14,2037.974939
14.932843,19,2099.449562
1.95,3,2106.637289
0.984806,2,2109.457664
9.289238,12,2137.928934
19.747594,25,2200.170362
4.404973,6,2222.275811
2.853321,4,2229.458946
4.869456,7,2248.4044
14.055839,18,2293.37807
7.605908,10,2321.501736
0.986741,2,2324.781658
25.395116,32,2406.298952
2.853333,4,2418.818503
33.342759,42,2521.533714
3.678761,5,2533.272305
0.99532,2,2537.62307
9.348176,12,2569.985819
0,1,2574.388601
1.0,2,2579.4303
8.567831,11,2611.212378
4.43078,6,2623.799061
31.1452,39,2739.493801
0.991784,2,2745.418707
4.515594,6,2767.477444
4.420424,6,2783.455211
0.935286,2,2788.39535
21.414883,27,2862.104031
1.9239,3,2869.726488
13.899001,18,2918.2372
0.999117,2,2923.172945
5.350406,7,2938.996011
2.572056,4,2952.755183
1.81244,3,2959.462284
4.412701,6,2974.430764
4.942976,7,2989.944694
9.408356,12,3025.10545
8.528542,11,3052.989438
20.931612,27,3123.543643
14.367319,19,3166.830924
7.46126,10,3194.036771
15.930491,21,3249.7823
13.135404,17,3289.655222
14.270973,18,3340.430614
15.441863,20,3393.871652
1.0,2,3399.946232
10.219784,13,3434.425561
1.938728,3,3443.880822
17.456317,22,3499.974385
13.15701,17,3541.337229
1.0,2,3546.863379
26.697381,34,3630.666542
2.779364,4,3637.45867
0,1,3642.256377
9.342848,12,3668.632154
0.992143,2,3672.373651
18.040152,24,3741.438162
12.09162,16,3781.22927
1.0,2,3784.979532
0.994688,2,3787.719897
12.338286,16,3830.699483
3.562276,5,3843.823132
9.882964,13,3876.898432
4.365815,6,3891.938878
1.894115,3,3900.119579
0.99185,2,3905.203997
0,1,3908.6846
21.858341,28,3970.814941
7.359177,10,4000.141681
4.455053,6,4018.638006
1.0,2,4024.785311
19.377476,25,4090.810689
12.50214,16,4132.290253
17.360852,22,4193.015025
0,1,4196.028361
78.998015,99,4469.050164
0.997059,2,4477.215714
0,1,4481.385322
24.548239,32,4556.73408
12.441979,17,4605.020299
0,1,4607.134637
14.306428,19,4659.303861
9.824934,13,4689.451933
41.871922,53,4820.922994
2.850522,4,4831.936693
2.853333,4,4845.880443
2.830119,4,4857.428782
71.939326,90,5105.077652
20.571986,27,5173.941773
10.102138,13,5211.652665
10.198918,13,5245.221037
4.250076,6,5261.847626
11.052029,14,5299.487288
42.898811,54,5437.315186
19.180179,25,5507.91235
6.114588,8,5529.414529
2.829852,4,5539.193183
6.11254,8,5557.232233
0.999842,2,5560.824677
23.119774,29,5633.838206
1.0,2,5641.233523
1.938249,3,5649.905661
11.851486,15,5690.520626
41.450333,53,5820.004463
6.360043,9,5842.535361
1.0,2,5848.159962
10.472656,14,5876.770023
56.557639,71,6046.428351
31.839048,40,6142.511091
3.701681,5,6156.164598
1.933729,3,6163.952029
57.908066,73,6361.31991
14.844313,19,6410.799899
6.123175,8,6431.909661
0,1,6435.777472
3.630376,5,6448.237097
23.253963,30,6524.966727
5.114585,7,6546.119631
39.102755,49,6669.347406
14.22953,18,6713.251334
46.265248,59,6853.421244
4.435001,6,6868.119049
22.002045,28,6931.132808
10.60593,14,6966.669695
34.024023,43,7089.462024
13.079609,17,7129.74266
5.292695,7,7148.793612
11.571689,15,7179.793565
15.295152,20,7230.176605
0,1,7231.949466
46.206031,58,7391.35216
0.99797,2,7400.221917
0,1,7403.489042
19.915929,25,7470.923426
12.612029,16,7507.294739
4.529005,6,7521.947685
12.992226,17,7558.559524
11.755932,15,7597.644682
0,1,7603.578664
1.946181,3,7610.210162
17.932548,23,7669.581722
0.961688,2,7675.855014
32.151597,41,7778.271067
16.252173,21,7833.712878
16.46793,21,7888.157761
0,1,7889.868345
1.0,2,7894.99281
9.306791,12,7929.303782
2.844801,4,7939.266392
5.270158,7,7954.863664
61.638694,79,8154.187741
8.522578,11,8181.207015
1.922952,3,8191.525877
1.949995,3,8198.323318
7.661738,10,8221.811418
1.9222,3,8228.452072
0,1,8231.251635
7.057974,10,8259.818533
19.742882,26,8327.582736
1.943229,3,8340.337695
4.525501,6,8362.066549
4.987213,7,8385.299306
27.69837,36,8475.246951
8.556815,11,8498.897103
13.430003,18,8552.868608
5.984068,8,8573.628162
4.523398,6,8588.43931
27.062289,34,8665.362903
0,1,8666.887882
0.92459,2,8673.879294
12.323079,16,8717.266222
17.456338,22,8773.203176
12.183412,16,8809.07248
6.594307,9,8831.255857
7.72342,10,8852.977797
9.214102,12,8883.289922
10.101973,13,8920.965901
16.265296,21,8975.732276
2.588759,4,8984.442408
9.247108,12,9011.352294
12.421789,16,9049.574007
8.214441,11,9076.604167
0,1,9078.045342
4.531626,6,9094.802442
17.855005,23,9145.280713
5.796875,8,9162.767658
24.163082,31,9239.159506
9.228206,12,9273.969848
4.467239,6,9287.192253
12.563624,16,9325.177457
12.40155,16,9364.17278
13.285262,17,9408.151708
2.85331,4,9420.814035
5.305505,7,9438.026216
2.851312,4,9446.818982
0,1,9448.147545
1.884121,3,9458.069455
12.108419,16,9503.384704
18.854334,24,9565.275349
11.704811,15,9600.24143
18.932523,24,9662.964174
29.782853,38,9757.957444
0,1,9762.396635
2.813279,4,9773.864675
46.583263,59,9909.482936
10.814854,14,9942.069186
19.940877,25,9999.641915
14.856863,20,10050.309277
21.67047,28,10120.159821
66.43345,83,10325.747071
5.203244,7,10341.549659
2.852739,4,10353.211295
20.440687,26,10413.475281
9.03961,12,10440.502961
7.525662,10,10464.777
1.869435,3,10473.921109
0.992669,2,10478.022185
1.809582,3,10482.707899
2.809141,4,10490.534316
1.89806,3,10496.720464
0.995057,2,10504.410355
0,1,10505.969285
5.039424,7,10523.47714
25.031242,32,10605.0597
16.644208,21,10653.58989
2.852992,4,10662.439046
1.945952,3,10669.271828
3.257493,5,10679.277015
19.643118,25,10741.387068
16.489885,21,10789.657022
26.883855,34,10874.798741
1.0,2,10882.659368
5.262119,7,10896.787341
0,1,10898.383922
16.611118,21,10944.617833
40.545529,51,11066.380628
1.0,2,11068.714606
41.957225,54,11207.567902
30.008637,38,11293.842745
46.860922,60,11434.061098
32.798557,41,11530.611892
28.794311,36,11619.647286
19.030485,24,11682.681974
21.181224,27,11754.394199
13.074312,17,11798.735364
50.116086,64,11954.319938
1.872939,3,11961.67194
1.807528,3,11965.854749
10.739933,14,12003.760066
1.0,2,12008.166962
4.452874,6,12024.836175
14.990414,20,12082.125582
67.693254,86,12296.24131
4.378672,6,12316.150921
5.978731,8,12336.23033
18.960463,24,12393.851402
4.432029,6,12408.89903
6.784621,9,12433.086466
19.810519,25,12484.934209
5.25036,7,12502.637282
24.990097,32,12590.978622
4.440481,6,12607.137062
19.643105,25,12660.499216
24.478034,32,12733.466268
1.942742,3,12744.059802
19.883794,26,12808.53594
6.039178,8,12835.825823
3.711933,5,12844.455899
0,1,12846.249858
66.836074,85,13046.976817
37.132756,47,13164.836639
54.19414,68,13327.420952
0.972815,2,13333.453777
10.982081,14,13369.595277
3.331367,5,13379.926213
17.684095,23,13437.638698
12.308265,16,13475.519132
18.244922,23,13535.214749
56.918422,72,13724.492791
12.433735,16,13765.157418
43.162909,54,13903.162919
22.049884,28,13971.442652
11.500723,15,14006.948061
21.098597,27,14086.54954
11.750176,15,14121.094962
47.634821,61,14271.482443
11.662637,15,14309.233775
54.872274,69,14475.705577
24.143084,31,14552.318523
45.427067,57,14693.599173
36.631558,47,14808.268919
30.568099,39,14903.246615
0,1,14905.342957
4.351163,6,14922.247279
20.868651,27,14991.440463
8.397954,11,15012.698278
4.473171,6,15024.864323
3.653688,5,15037.784745
