#{"t_start": 1623341450.4945612, "env_id": "mario_puzzle-v0"}
r,l,t
1.0,2,11.581383
0,1,13.914818
6.824288,8,34.228974
0.999817,2,41.36363
26.794727,28,122.293861
40.00409,43,244.428036
1.903851,3,252.378832
8.825488,10,271.546753
31.826742,34,369.063377
13.763298,15,408.584487
8.69635,10,435.191544
10.9387,12,470.333024
11.714389,13,502.484308
10.581439,12,535.106678
2.0,3,542.004006
20.426436,23,605.512722
15.871972,17,644.298235
9.865592,11,671.848739
2.877913,4,679.269269
11.721966,13,717.877726
6.995965,8,741.314248
1.0,2,745.111641
0,1,747.859962
6.877809,8,772.450046
6.952877,8,794.745136
1.984846,3,806.197978
25.119129,27,875.377987
44.188323,46,995.785033
0,1,996.593305
6.802089,8,1020.136769
17.785279,19,1068.888566
0,1,1072.405119
8.973816,10,1096.928589
52.607616,56,1236.604047
2.974545,4,1248.072437
17.751531,19,1299.349266
13.623495,15,1335.961721
4.943342,6,1352.986122
6.448157,8,1372.435016
0,1,1376.788602
8.854541,10,1404.894265
2.0,3,1415.236998
8.951355,11,1441.360155
0.994165,2,1450.572633
52.339806,54,1593.653788
4.998055,6,1612.42999
6.929907,8,1640.74435
12.695643,14,1676.525728
3.999624,5,1690.176131
0.968104,2,1694.134995
4.0,5,1707.30196
3.949967,5,1718.700552
26.274116,28,1800.054148
15.461256,17,1851.126245
1.0,2,1854.583647
12.921795,14,1892.95208
20.660413,22,1948.498395
2.952687,4,1957.027204
18.816758,20,2010.158488
2.993323,4,2019.638261
14.864107,16,2064.511206
13.848436,15,2105.667861
43.984194,47,2227.945475
0.986613,2,2232.269666
3.953297,5,2245.563087
3.714525,5,2260.961627
24.172201,27,2328.565237
7.968348,9,2355.421766
13.640333,15,2391.271513
12.326231,14,2433.341058
3.980609,5,2445.330828
1.0,2,2451.53039
4.965275,6,2469.211305
1.963664,3,2474.796315
21.463732,23,2538.720667
1.999238,3,2550.089444
16.79068,18,2598.742384
0.99622,2,2602.769526
41.714664,44,2720.112535
6.94933,8,2741.54788
5.989333,7,2760.6374
38.917464,41,2859.800303
2.0,3,2869.968581
33.524675,35,2965.337855
34.120054,36,3066.521111
52.09278,54,3202.540172
3.999712,5,3216.301204
1.0,2,3219.151213
39.222222,42,3324.497713
6.917814,8,3345.347818
8.203661,10,3374.731666
14.373322,16,3416.23016
7.969835,9,3446.513949
0.887588,2,3450.417888
0,1,3453.736708
1.0,2,3459.410959
0,1,3460.794416
8.864946,10,3488.541158
2.0,3,3495.506702
