#{"t_start": 1623341450.7747967, "env_id": "mario_puzzle-v0"}
r,l,t
11.676135,13,38.729686
3.0,4,52.381684
2.78668,4,65.718567
8.428852,10,95.134861
10.990456,12,128.356492
2.0,3,135.356213
0,1,140.177777
0.938601,2,144.64791
16.625018,18,200.943045
16.181131,18,246.457385
18.732515,20,294.173566
0.999849,2,303.536026
13.561347,15,341.57543
19.54863,21,401.283012
8.817746,10,430.108394
6.92336,8,451.666131
5.0,6,466.329971
13.738105,15,504.60585
9.867443,11,535.15845
1.949949,3,542.000161
8.860402,10,572.792648
24.840156,27,637.990399
1.959956,3,644.243873
15.533702,17,684.323879
12.554801,14,724.428627
6.884397,8,749.134473
13.427762,15,791.695997
1.0,2,799.629168
3.956918,5,815.082755
27.877729,30,889.897784
0.999506,2,897.57529
3.0,4,905.254454
13.859636,15,947.984814
0,1,950.655333
20.463691,22,1006.79315
0.973091,2,1010.96565
4.999995,6,1030.099884
14.47233,16,1071.175045
1.953593,3,1079.75205
3.995901,5,1092.486793
14.617522,16,1128.398375
7.475547,9,1151.330554
28.85586,30,1223.511122
7.985149,9,1250.208718
0,1,1253.752214
10.060329,12,1285.897752
2.9559,4,1295.640065
23.842441,25,1360.146769
15.623448,18,1411.955402
1.994108,3,1419.444846
26.726993,29,1495.162241
0.98877,2,1500.681544
16.737384,19,1547.421313
16.693029,18,1604.719851
8.969426,10,1635.049476
6.967662,8,1658.590051
41.08226,43,1771.841324
13.916669,15,1815.093837
2.0,3,1820.912392
0,1,1826.428138
13.768879,15,1867.454278
0,1,1872.157064
10.864786,12,1902.532255
0.994303,2,1908.271555
17.387955,19,1958.797953
2.0,3,1964.243865
18.075424,20,2016.074103
0,1,2017.491004
1.975597,3,2028.979416
5.692544,7,2049.010622
0.969565,2,2053.522155
65.201998,69,2236.857197
0,1,2238.013743
26.796586,28,2310.607286
1.0,2,2317.311861
3.919976,5,2327.887136
5.622253,7,2342.67566
3.70374,5,2362.93931
14.828346,16,2403.301707
5.847234,7,2426.027982
10.965057,12,2456.824045
5.748684,7,2474.875643
1.958895,3,2481.264433
3.980459,5,2499.613338
15.64033,17,2544.192445
14.891378,16,2588.562896
2.960364,4,2600.897111
17.840109,19,2642.969905
1.997865,3,2651.070165
0.984757,2,2656.25473
8.952487,10,2683.104321
8.750922,10,2718.679158
1.913116,3,2723.40744
23.981281,26,2792.285569
8.98054,10,2818.389037
12.839129,14,2849.750234
15.869535,18,2896.795857
0.994324,2,2901.355516
4.618398,6,2919.018611
2.906788,4,2931.157491
5.949576,7,2948.370466
0,1,2952.49825
18.339978,20,3009.476039
1.994763,3,3018.15082
13.580101,15,3062.575431
3.999836,5,3073.269843
0.986604,2,3081.22282
10.859167,12,3111.050275
8.916172,10,3135.491816
3.0,4,3143.224573
15.896315,17,3188.677045
