timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
24576,116.67998659999998,96.17955634376142,20.50043016477154,0.0,-7.759425167755637,103.74645192440619
26624,116.835274,96.65318864859454,20.18208516156501,0.0,-6.681065132055923,101.47458904198218
28672,116.95956129999999,96.74739295421719,20.212168150671033,0.0,-7.099380236990163,100.02236062506702
30720,117.04188700000002,96.82556887730235,20.21631810502361,0.0,-6.963971170554423,99.93047912580758
32768,117.25460199999998,96.30710092882717,20.947501103580166,0.0,-7.673029970439207,103.17062710574123
34816,116.67834750000002,96.8542494335359,19.82409801195057,0.0,-6.107802506665231,100.88569237280021
36864,117.515549,96.86243695592796,20.65311194393574,0.0,-6.478137194428524,100.90765564545437
38912,118.41294639999998,96.62828649097582,21.784659897076875,0.0,-6.272204513631109,101.23760447549125
40960,118.3765018,96.90181180048776,21.474690044262125,0.0,-5.546088038125437,100.45472680839649
43008,117.7253861,96.77784981601567,20.94753646245126,0.0,-6.008800222450589,101.40188906912104
45056,117.43710949999999,96.30595703910943,21.131152475820738,0.0,-7.085126346230069,103.62643702546617
47104,116.1643838,96.02275630927173,20.141627455800652,0.0,-8.106721190794577,103.65216876870727
49152,116.2499195,96.84616010226259,19.403759384129398,0.0,-5.891914509740567,100.90034027711405
51200,116.6245994,96.94696110017269,19.677638310329577,0.0,-5.354131472797114,100.21410646535548
53248,116.6501248,96.52478954919742,20.125335339288334,0.0,-6.748632383231639,101.72060730947621
55296,116.93652069999999,96.75467912079128,20.18184144668905,0.0,-6.332079564844449,102.02439123235334
57344,117.42219479999999,95.74501849671375,21.677176293375386,0.0,-8.77978953943938,103.8960285367481
59392,117.5334945,96.97137005852957,20.56212443449423,0.0,-5.562691757004285,100.40552725639489
61440,117.34447809999999,97.13675778143087,20.207720298499176,0.0,-5.517938667663989,97.7130804514392
timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
2048,112.0688928,87.50005721711008,24.568835492072214,0.0,-5.952528203675437,100.16762791396704
4096,117.14429929999999,95.00656212670306,22.13773722770248,0.0,-6.530750886752036,99.4278653365242
6144,115.6828621,94.77766925584112,20.90519291413028,0.0,-7.195489185826013,101.39069611127965
8192,115.2144816,95.75944693984147,19.455034561568255,0.0,-7.029375137453945,99.1084606710913
10240,116.4287073,96.65184373213722,19.77686357376341,0.0,-5.337865880174352,97.73406609826255
12288,117.55747679999999,96.96007805979058,20.597398731573847,0.0,-5.0429087575401095,98.89750420911176
14336,117.7298628,96.10871727295209,21.62114568167748,0.0,-7.345128430646902,101.61633324386409
16384,117.086408,96.61360176141247,20.472806336087505,0.0,-6.3520725720789795,98.40201336353569
18432,118.44655660000001,96.75084133519542,21.695715354520754,0.0,-6.226580448194366,100.62518425684257
20480,118.481638,97.06340231450297,21.418235891720943,0.0,-5.4466157062671865,100.18811320879823
22528,118.26840379999999,96.65627271999386,21.612131045016834,0.0,-6.257712589239061,101.3220190001361
24576,118.7997859,96.3472734013497,22.452512583067428,0.0,-7.5883013843546605,102.92196575871301
26624,118.3663982,96.80303605087775,21.56336222862146,0.0,-6.579880193703675,100.47950763935486
28672,118.2186141,96.8003258392664,21.418288228141755,0.0,-6.967972254255988,100.69920863734225
30720,117.5656553,96.90574157912934,20.659913752966226,0.0,-6.739209263380118,99.75934322972745
32768,118.206153,96.50870521099164,21.697447897365684,0.0,-7.386860819073581,102.66979870619173
34816,117.3097354,96.90911281454765,20.400622381428594,0.0,-5.94290556025338,99.87548601499057
36864,117.81585580000001,96.85125365595408,20.964601949590236,0.0,-6.158229493294704,100.47007495412278
38912,119.4443262,96.53576857117605,22.908557695753572,0.0,-6.133695735310811,102.57141289291587
40960,118.5504074,96.77331661558388,21.777090828669262,0.0,-5.681755404321867,99.02477311371402
43008,118.29883279999999,96.84623148639399,21.452601427593997,0.0,-5.76755009134392,100.8987147289919
45056,119.19585800000002,96.33714361751072,22.858714434095905,0.0,-6.786696329698915,103.98574721332515
47104,118.06762370000001,95.72903655586951,22.338587246052903,0.0,-8.394542640508536,103.7091681293524
49152,117.52530220000001,96.77349504987663,20.751807071042947,0.0,-5.7885401030219565,100.80169500055052
51200,117.89594280000001,96.88823952671063,21.007703091605794,0.0,-5.347494141301949,101.22778427609751
