timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,H_sum
2048,8.8175377,0,0,8.817537657,0,0
4096,7.2309151,0,0,7.230915091,0,0
6144,9.5790941,0,0,9.579094114,0,0
8192,5.6191203,0,0,5.619120118,0,0
10240,11.2023445,0,0,11.20234443,0,0
12288,9.7795354,0,0,9.77953527,0,0
14336,6.4615542,0,0,6.461554195,0,0
16384,13.6624548,0,0,13.66245477,0,0
18432,7.5771104,0,0,7.577110275,0,0
20480,17.4549356,0,0,17.45493562,0,0
22528,9.7021002,0,0,9.702100149,0,0
24576,11.300938,0,0,11.30093794,0,0
26624,10.8046733,0,0,10.80467335,0,0
28672,7.1042161,0,0,7.104216145,0,0
30720,11.7011187,0,0,11.70111877,0,0
32768,10.3416006,0,0,10.34160055,0,0
34816,11.8056713,0,0,11.80567122,0,0
36864,17.176915,0,0,17.17691479,0,0
38912,9.4675581,0,0,9.467558026,0,0
40960,12.7601893,0,0,12.7601892,0,0
43008,8.6364793,0,0,8.636479313,0,0
45056,10.4156686,0,0,10.4156686,0,0
47104,10.4969468,0,0,10.49694686,0,0
49152,15.675685,0,0,15.67568504,0,0
51200,12.3722147,0,0,12.37221459,0,0
53248,8.0130203,0,0,8.013020248,0,0
55296,12.5581947,0,0,12.55819462,0,0
57344,14.7509715,0,0,14.75097165,0,0
59392,18.5800393,0,0,18.58003927,0,0
61440,15.762912,0,0,15.76291196,0,0
63488,21.7961131,0,0,21.79611306,0,0
65536,11.7765006,0,0,11.77650062,0,0
67584,11.3262481,0,0,11.32624815,0,0
69632,13.135654,0,0,13.13565403,0,0
71680,15.3550248,0,0,15.35502483,0,0
73728,8.2893313,0,0,8.28933133,0,0
75776,21.6712352,0,0,21.67123513,0,0
77824,12.3979473,0,0,12.39794731,0,0
79872,14.5073335,0,0,14.50733345,0,0
81920,21.7803858,0,0,21.78038573,0,0
83968,15.3932084,0,0,15.39320842,0,0
86016,18.4575318,0,0,18.45753169,0,0
88064,23.0933676,0,0,23.0933675,0,0
90112,20.0327426,0,0,20.03274264,0,0
92160,18.2251421,0,0,18.22514206,0,0
94208,8.6780647,0,0,8.678064536,0,0
96256,22.1503755,0,0,22.15037544,0,0
98304,18.6079729,0,0,18.60797278,0,0
100352,19.2890174,0,0,19.28901746,0,0
102400,16.0011878,0,0,16.00118782,0,0
104448,22.1125326,0,0,22.11253251,0,0
106496,15.8365471,0,0,15.83654704,0,0
108544,27.1644029,0,0,27.16440274,0,0
110592,16.2984984,0,0,16.29849839,0,0
112640,13.0724382,0,0,13.07243818,0,0
114688,25.0350131,0,0,25.03501311,0,0
116736,15.7906238,0,0,15.79062363,0,0
118784,17.9779532,0,0,17.9779531,0,0
120832,14.515035,0,0,14.51503492,0,0
122880,19.5734577,0,0,19.57345779,0,0
124928,12.1655256,0,0,12.16552556,0,0
126976,13.5004588,0,0,13.50045874,0,0
129024,27.6737423,0,0,27.6737424,0,0
131072,14.7947098,0,0,14.79470983,0,0
