#{"t_start": 1620663560.7019782, "env_id": "mario_puzzle-v0"}
r,l,t
3.762842,4,17.89793
1.981107,2,26.429377
37.0,38,119.346
29.0,30,190.489153
1.980805,2,194.540326
5.945844,6,213.741418
13.987804,14,248.369655
16.97695,17,297.279571
8.946086,9,321.489428
0.53588,1,323.539397
53.987804,54,458.918649
32.0,33,540.804972
6.0,7,560.217781
12.999924,13,595.048963
9.856445,10,622.29803
5.049446,6,636.598238
2.0,3,644.336418
0.049107,1,650.436252
0.718228,1,651.889898
4.0,5,663.640298
11.0,12,695.191038
5.978722,6,712.570606
13.987804,14,753.835631
12.0,13,790.053984
7.0,8,811.870298
23.579122,24,874.216184
5.0,6,890.783457
2.0,3,897.144956
2.653997,3,908.497993
1.801086,2,913.87698
5.0,6,931.540979
4.0,5,944.220206
5.0,6,956.00964
17.885722,18,1009.363592
1.0,2,1013.985476
32.049107,33,1102.24567
6.0,7,1117.149431
5.0,6,1135.101053
8.125893,9,1160.995612
7.62481,8,1182.469721
0.950596,1,1185.624973
11.703024,12,1215.221255
6.977679,7,1235.784051
13.963618,14,1275.155965
9.99368,10,1300.188101
10.0,11,1331.432882
0.26875,1,1334.372865
11.998434,12,1366.995784
4.99368,5,1383.715116
1.711315,2,1389.446902
21.994462,22,1443.083263
5.975796,6,1455.472905
23.0,24,1517.003772
2.998556,3,1523.663724
12.0,13,1560.770741
17.0,18,1606.189014
4.99368,5,1618.321885
3.625598,4,1629.266767
5.410165,6,1644.437596
8.0,9,1667.654872
11.051786,12,1710.005396
16.993416,17,1755.233435
31.0,32,1838.440315
3.348683,4,1853.990865
10.987804,11,1883.88326
3.976161,4,1898.889065
7.758003,8,1917.766949
2.953917,3,1927.046618
13.0,14,1969.068366
46.0,47,2097.252364
20.754184,21,2149.280998
8.99368,9,2171.745176
7.85618,8,2188.9411
3.988134,4,2198.671174
16.0,17,2244.957958
12.993416,13,2271.469159
6.926685,7,2288.803961
7.0,8,2312.250005
0.99368,1,2314.168271
6.0,7,2331.838708
4.151896,5,2345.820556
15.049107,16,2386.34616
26.0,27,2449.373453
10.0,11,2477.648202
7.999301,8,2504.580162
6.0,7,2524.721741
31.0,32,2612.433613
15.0,16,2649.103873
11.077077,12,2675.884987
5.599585,6,2692.207947
16.0,17,2737.771221
7.0,8,2762.659956
7.992475,8,2783.308048
16.829432,17,2828.690681
9.977679,10,2855.569357
8.720822,9,2877.578678
0.692509,1,2879.316503
9.977679,10,2908.487652
5.977679,6,2923.059568
0.137734,1,2925.259569
14.980357,15,2961.350381
1.051786,2,2967.347189
1.993416,2,2972.625376
14.987804,15,3012.757351
16.99368,17,3056.896886
29.0,30,3133.214979
29.0,30,3217.43676
1.983036,2,3223.183702
45.977679,46,3349.97969
27.0,28,3419.060816
5.0,6,3433.564495
8.0,9,3453.691575
3.977679,4,3465.364011
3.9256,4,3473.28761
7.0,8,3490.332487
9.993008,10,3518.511897
24.002245,25,3580.613792
3.0,4,3591.299975
7.0,8,3610.844778
23.982013,24,3676.719157
2.99368,3,3683.324911
5.0,6,3699.050366
80.999971,81,3917.129334
0.990848,1,3920.465145
12.0,13,3957.623073
14.0,15,3986.693995
17.720822,18,4032.957031
16.0,17,4081.434985
25.829432,26,4155.162904
0.9256,1,4156.894638
4.99368,5,4167.402638
6.950488,7,4186.862312
37.99368,38,4281.741845
22.049107,23,4348.430085
0.049107,1,4352.054232
11.082586,12,4378.648553
0.0,1,4379.762294
6.0,7,4397.434917
3.998126,4,4407.87651
12.0,13,4441.39633
7.0,8,4465.281705
15.99368,16,4503.343248
0.999408,1,4505.740757
13.974102,14,4540.966595
16.0,17,4580.435619
10.977679,11,4608.798007
2.829432,3,4613.952209
7.0,8,4632.880446
34.0,35,4721.484069
7.994431,8,4745.519255
4.998256,5,4756.958869
8.0,9,4780.12547
6.975796,7,4798.091348
9.977679,10,4823.146003
23.939996,24,4884.287063
7.286059,8,4910.022087
2.0,3,4919.189739
1.99368,2,4923.414866
22.983036,23,4985.775852
10.0,11,5012.435121
0.942086,1,5014.774801
14.0,15,5052.752644
56.970176,57,5200.746598
1.0,2,5204.028381
7.977679,8,5226.627587
5.0,6,5240.692854
3.950224,4,5249.278751
3.975796,4,5256.730537
18.976176,19,5302.437912
6.0,7,5318.868546
8.994431,9,5342.545744
13.99368,14,5376.282828
17.977679,18,5429.326707
13.049107,14,5466.376603
1.0,2,5469.103037
8.0,9,5493.424366
0.0,1,5497.331722
10.0,11,5520.438787
7.194643,8,5538.707713
16.993161,17,5584.9364
3.99368,4,5593.616532
3.051786,4,5608.528986
3.955216,4,5619.77797
4.0,5,5629.392143
2.990975,3,5639.806295
20.0,21,5689.874502
2.649331,3,5697.798042
9.0,10,5728.495615
13.999116,14,5766.93343
7.996887,8,5790.835877
73.950596,74,5981.975196
9.994655,10,6006.104726
11.0,12,6037.418141
27.980805,28,6103.053121
9.0,10,6129.098363
11.733588,12,6153.828049
0.989925,1,6156.05238
46.992386,47,6289.32338
11.480357,12,6321.842491
44.0,45,6424.200188
3.0,4,6432.470558
2.0,3,6438.350131
3.0,4,6446.771755
64.0,65,6610.132327
44.0,45,6733.30587
11.0,12,6765.719208
1.975512,2,6774.88611
3.191689,4,6784.450778
4.9256,5,6798.51779
12.0,13,6829.863147
10.99368,11,6853.258254
1.99368,2,6856.974603
0.992604,1,6860.107283
7.99368,8,6875.665906
6.782743,7,6893.237744
9.994472,10,6920.271012
