#{"t_start": 1624084692.2450883, "env_id": "mario_puzzle-v0"}
r,l,t
0,1,10.905746
29.481929,44,125.75363
4.154894,10,150.896158
15.876352,24,212.904163
3.598052,7,228.960648
4.580341,7,243.940192
0,1,245.444716
2.49778,4,254.78239
15.880181,29,328.4559
9.574862,12,362.250663
7.00716,12,385.986318
1.0,2,393.287687
10.781479,23,447.861801
14.320531,21,503.79565
11.93272,22,562.484815
0,1,563.784518
9.724693,12,594.778292
2.024074,8,614.610472
0,1,619.707303
11.410054,25,685.357413
11.982206,16,732.930465
10.592676,17,775.589841
-0.162428,3,784.959412
2.779926,7,802.048252
1.0,2,807.898838
9.330456,14,847.78987
6.035812,8,872.065653
13.863794,17,911.125541
8.035308,20,961.206145
10.082262,17,1002.456857
11.306273,23,1061.640055
8.450399,12,1091.675244
6.503998,10,1114.776847
22.540867,31,1198.30445
3.380421,9,1223.251673
5.80818,11,1256.309907
14.454445,35,1345.737269
6.688886,9,1366.343651
18.297084,36,1454.640493
3.710344,8,1473.99527
2.555374,4,1486.895044
1.966537,5,1504.713967
7.356385,11,1537.345191
26.92093,38,1640.891143
0,1,1644.419877
5.112284,11,1673.477087
5.013807,9,1697.032525
1.22641,4,1707.043339
0,1,1709.821449
0,1,1713.007886
14.980417,29,1784.833352
0,1,1789.312201
0.90401,2,1793.41944
8.588199,10,1818.923388
16.626196,33,1907.248618
3.41708,7,1925.274905
0.20711,2,1930.733429
5.0,6,1945.67759
27.538776,43,2066.303059
5.611966,10,2089.125112
-0.10613,2,2096.071409
21.372234,34,2189.316226
20.961084,30,2270.732937
4.327086,11,2299.601204
-0.622849,2,2304.576644
23.108861,39,2405.207453
26.545992,34,2496.488521
1.209608,3,2501.713467
0.69811,3,2508.555615
17.222309,21,2562.270808
7.094957,11,2588.257411
4.50571,10,2610.77681
15.814551,30,2698.882525
11.550548,20,2750.526989
7.860219,17,2798.010731
5.117321,9,2817.688125
2.636832,5,2827.016579
3.824739,7,2846.814632
6.578812,11,2868.585598
1.0,2,2874.404811
4.025502,14,2912.926013
7.804957,13,2944.57497
4.0,5,2959.201908
2.523658,7,2983.690545
6.193684,9,3006.733985
1.0,2,3014.588507
6.092156,12,3046.55868
5.708413,15,3083.194645
7.641534,12,3111.741421
4.474909,9,3139.741933
2.540175,8,3161.297616
12.470575,26,3217.083858
20.074819,29,3295.923983
0,1,3299.223411
9.298534,20,3347.07166
15.715396,18,3393.225889
0,1,3394.909777
5.211146,7,3415.877497
0,1,3418.263397
4.0,5,3435.935753
5.84055,8,3456.58313
0,1,3459.354484
0.188438,3,3465.990481
12.825739,20,3529.983376
16.606687,29,3602.990851
10.163758,17,3646.354819
1.0,2,3651.350857
0.922331,3,3662.122971
7.937447,22,3723.442903
1.163665,3,3730.877244
0,1,3734.006952
6.732223,13,3767.295675
9.781684,18,3816.373401
0.619317,2,3823.119239
-0.635148,3,3833.499311
11.705802,19,3888.015443
18.725552,34,3971.925686
11.057259,18,4024.57572
12.929505,25,4090.903613
4.90244,12,4122.318968
1.0,2,4127.645807
5.839746,13,4162.661348
2.0,3,4170.892721
17.142263,21,4230.42432
