#{"t_start": 1624084692.5791214, "env_id": "mario_puzzle-v0"}
r,l,t
13.804544,18,53.846385
13.900715,20,105.19143
8.598288,11,136.778933
8.344279,11,167.137994
2.557865,12,192.237874
3.342124,6,209.1074
0,1,212.801708
5.48315,9,233.488286
1.471766,3,239.750448
0,1,241.83054
2.229669,6,255.652393
33.692613,49,378.380524
8.654025,17,417.910604
4.0,5,430.894242
3.292344,5,443.935077
1.0,2,448.749973
2.59134,7,471.275214
12.040835,19,516.164519
18.771159,24,577.721946
3.028746,6,592.928746
2.438405,4,603.407742
9.391019,12,640.623429
10.046561,20,690.557815
0.833761,3,702.36447
2.563944,11,730.532066
0,1,734.34285
3.132541,10,759.902771
3.304733,7,777.372619
0.709198,6,794.458181
4.052734,7,812.192002
7.180529,10,840.330305
0,1,846.123152
5.720104,10,873.397336
2.196138,4,882.389554
10.331231,23,943.424017
25.527922,40,1036.323188
3.801524,10,1065.58689
0.391036,2,1069.528672
11.428347,18,1110.873997
2.809398,5,1123.856428
3.131921,8,1144.953474
30.655716,49,1281.522252
0,1,1284.687821
1.074372,3,1290.583285
1.989129,6,1307.365824
5.117815,8,1326.693275
0.056984,2,1334.543472
0.824357,3,1341.112524
7.192848,14,1373.698247
3.621169,7,1389.682611
3.399959,10,1412.405123
0,1,1417.231561
9.526336,14,1451.084392
-0.116477,2,1458.128728
2.0,3,1465.129291
6.656129,9,1490.798964
7.861512,13,1533.429274
3.732051,8,1555.462107
11.410906,20,1606.416644
9.477139,19,1662.798445
2.0,3,1669.444953
11.981464,21,1722.176822
3.0,4,1733.257493
11.290527,21,1784.437524
8.325758,13,1820.571072
5.228721,12,1847.93085
1.546229,4,1858.921384
30.805053,49,1991.276568
8.575353,15,2032.123445
4.581663,7,2053.234366
4.545491,7,2071.857639
1.602267,3,2076.998179
0,1,2078.920272
11.285803,16,2123.30592
13.347377,20,2178.448633
7.779125,15,2220.84815
8.413712,14,2260.901632
0.18334,2,2267.090817
5.517206,10,2288.926666
2.558472,4,2300.481324
12.869576,18,2348.305696
15.162149,19,2396.676656
6.735736,13,2432.590603
5.0,6,2449.966832
7.720589,21,2501.735855
3.251611,10,2529.146407
4.858069,8,2546.653004
0.227927,4,2558.4807
10.084425,21,2603.620334
11.355759,22,2671.320971
19.822403,34,2760.750678
