#{"t_start": 1624084691.386246, "env_id": "mario_puzzle-v0"}
r,l,t
9.077718,17,48.178866
10.970738,20,102.422726
6.337888,9,132.892174
0.632536,6,147.440932
4.543643,12,176.446553
4.788932,12,204.48961
9.374582,16,243.314141
1.396949,4,251.068551
8.462654,14,283.950448
3.589363,7,300.586241
0.521408,2,306.105412
5.721399,10,332.993663
4.133223,8,354.415943
5.028008,7,373.127858
9.554208,20,419.063136
9.035714,16,460.604587
2.782186,6,479.614738
-0.222322,4,488.320297
8.046479,11,514.732665
0,1,519.554607
7.695627,18,566.78304
3.355177,5,576.360253
13.471955,29,658.353186
11.469258,18,706.237392
4.949737,13,742.834422
1.0,2,746.659633
5.974935,11,775.043599
2.0,3,780.515375
6.893374,14,819.49771
27.102775,42,933.148474
0.978967,3,942.670161
0,1,944.34334
7.895259,11,967.003604
15.467232,27,1030.464859
2.834483,6,1046.137329
3.0,4,1058.196775
5.734247,15,1096.648817
1.507476,3,1103.021314
1.889011,7,1118.454677
7.98425,17,1164.600864
0,1,1167.233897
0.662009,2,1175.833533
6.021126,10,1204.351254
0,1,1207.739481
3.410477,7,1226.541793
0.833668,6,1243.488617
4.086963,10,1270.095895
0,1,1272.143687
10.412533,20,1322.362323
7.809006,23,1380.062903
34.58095,49,1508.145822
1.579036,3,1519.043134
11.595782,16,1563.283608
5.139822,7,1584.083108
0,1,1586.290815
6.735276,10,1613.494889
1.0,2,1621.168785
0.265252,2,1624.312163
0,1,1626.335295
4.4252,8,1648.100138
28.170868,49,1774.702896
5.666572,13,1805.429512
0,1,1810.437152
5.372186,8,1829.218501
3.027111,6,1844.605579
8.046537,17,1888.671981
34.508268,48,2021.25187
0,1,2022.40427
0,1,2026.123724
0.951159,3,2033.194827
10.37305,15,2074.591793
3.512355,7,2092.208194
7.884036,13,2126.624636
2.205264,6,2140.92166
2.568077,4,2152.490318
18.934265,26,2227.795408
5.626789,10,2252.866246
16.724183,25,2318.988186
1.106414,4,2331.95097
5.637289,7,2350.554912
10.848856,21,2402.539368
0.268139,2,2409.379204
6.816621,9,2433.119945
3.145283,5,2449.427967
5.091726,8,2466.305959
1.892371,3,2475.426558
7.534553,15,2514.133428
18.218305,30,2586.256247
7.014365,11,2609.910779
5.227978,8,2640.386168
3.582486,5,2652.938372
1.0,2,2660.093689
23.2846,35,2750.840729
0.461972,2,2754.525252
26.614094,44,2863.988823
6.357999,8,2885.366846
3.319837,5,2896.428046
4.093673,6,2913.587255
1.0,2,2917.55564
5.51895,10,2943.257568
15.914245,24,3015.271231
0,1,3020.053615
3.395254,6,3036.252538
1.62179,4,3044.998922
4.0,5,3056.055271
5.400904,7,3072.662645
0,1,3076.506818
2.206622,4,3088.652719
1.000326,4,3097.588185
14.930056,33,3178.177298
7.120042,11,3202.885838
32.810115,43,3316.234084
4.420784,6,3333.274184
27.540564,49,3462.653347
4.330732,7,3484.430296
3.0,4,3497.357137
0,1,3501.802661
2.393584,4,3515.623297
0,1,3518.493221
7.534772,17,3560.126528
2.0,3,3566.823268
2.514465,7,3583.881365
8.719668,15,3623.93501
0.186643,2,3627.302285
3.402296,11,3657.813468
3.756986,5,3675.858759
22.344293,46,3793.318975
4.429138,6,3812.005889
3.569928,6,3834.479319
7.387044,9,3856.66872
1.137845,14,3901.151755
9.401124,12,3928.811456
3.719951,5,3941.277973
3.8279,7,3959.625961
0,1,3961.237406
3.188406,6,3977.796999
2.596005,7,3994.280032
0,1,3998.178614
0,1,3999.414646
0,1,4004.595625
2.349187,6,4023.875745
25.857944,49,4151.790399
6.338419,14,4191.45533
0,1,4195.157126
0,1,4197.155089
5.974765,13,4234.839649
20.588043,31,4315.833592
32.702847,49,4443.461946
5.357621,9,4469.412747
34.7164,48,4585.0692
10.44326,20,4639.353853
9.220662,17,4681.403196
5.058489,8,4699.292953
3.063518,5,4710.946702
29.851402,40,4814.503175
9.650319,15,4853.372845
