#{"t_start": 1620550490.5593119, "env_id": "mario_puzzle-v0"}
r,l,t
0.64032,1,8.759089
5.064166,4,17.175903
39.095978,32,98.600646
3.096485,3,104.830058
4.989816,4,116.560128
1.780096,1,121.667096
1.87133,2,126.105276
17.795539,14,160.770003
6.233787,6,173.577386
25.077541,21,231.35925
1.125795,1,234.901903
4.940416,4,243.612888
3.410688,3,249.851587
14.787821,11,276.496216
8.874807,7,294.482446
6.748325,5,309.029374
10.717902,8,327.87752
16.331107,13,366.733583
4.305298,4,376.104553
3.068307,3,387.068087
11.240019,9,409.180497
1.173784,1,413.594568
10.800479,7,436.179206
3.462823,3,445.587861
2.311777,2,454.650967
2.498421,2,460.884438
11.93354,10,491.460103
14.91752,11,520.149404
12.167138,10,542.990341
6.515158,5,554.900501
13.895437,11,589.336863
17.007921,13,629.024695
13.266222,10,654.186607
5.087654,4,662.565835
19.887536,16,705.039271
24.493619,19,754.439307
23.638635,17,800.377978
4.566672,4,808.103372
5.991202,5,824.344656
14.873607,11,853.456555
9.093222,7,874.148465
1.189393,1,875.316874
16.025041,12,909.749875
1.655703,2,913.985357
15.019991,12,946.581093
25.059714,20,991.13196
7.61605,6,1008.291748
23.185965,18,1053.968688
17.092794,13,1089.290765
20.719683,16,1135.526533
20.944297,16,1184.022333
16.94402,14,1217.136108
13.680434,11,1249.675205
6.486212,5,1262.604531
29.537557,23,1325.79376
7.57641,6,1345.214664
29.443879,24,1417.655396
15.244315,11,1444.508143
1.259534,1,1448.428111
9.688007,8,1467.462816
5.306568,4,1475.810848
10.884931,9,1498.447291
1.559098,1,1503.311863
3.2023,3,1512.993033
13.018457,10,1537.31357
29.543739,24,1601.122402
2.063687,2,1607.726044
5.144477,4,1614.221059
9.87811,8,1631.582571
4.65214,4,1645.886344
2.835909,3,1652.26004
7.060574,5,1664.534466
5.025401,4,1678.147792
26.216243,21,1737.120969
12.80858,9,1758.425242
0.271485,1,1759.555588
32.204831,26,1829.974453
5.153864,4,1841.003273
11.37113,8,1867.906549
7.890658,6,1887.050858
3.815639,3,1896.360821
22.373427,18,1942.251906
5.45017,4,1955.450354
1.511342,2,1962.251832
9.899858,9,1983.192475
14.023402,12,2016.399565
15.294997,12,2047.243736
2.005804,2,2057.06496
15.601448,11,2084.077471
2.19296,2,2088.451958
5.373157,5,2100.373652
11.732705,10,2128.58101
2.825845,2,2134.864262
15.819314,13,2170.914915
4.844058,3,2179.125461
7.260609,6,2189.876293
3.973097,4,2197.242853
11.769853,10,2222.320458
10.899566,8,2245.995144
7.148773,6,2257.126335
25.553691,21,2309.425886
10.969577,9,2334.963297
25.294727,21,2393.02388
35.753606,28,2464.129279
4.969411,4,2479.175339
3.725005,3,2484.99174
11.598827,9,2510.541578
9.061594,7,2531.829862
16.017328,12,2566.781902
9.50351,8,2585.460772
6.776823,6,2600.085602
23.41448,19,2651.840723
2.348149,2,2656.577087
16.29178,13,2695.747282
25.701521,20,2749.431733
2.311704,2,2757.346835
24.989388,19,2810.792126
1.119363,1,2814.709943
4.972664,4,2822.251628
6.299197,5,2832.659593
