#{"t_start": 1624641996.9573128, "env_id": "mario_puzzle-v0"}
r,l,t
3,4,15.424884
6,7,32.935438
13,14,74.768283
1,2,81.846473
5,6,99.358606
5,6,112.313738
8,9,136.044904
3,4,147.432809
13,14,184.392242
3,4,193.946811
9,10,223.225368
6,7,240.347989
32,33,320.213076
22,23,383.347208
8,9,404.46658
1,2,410.389595
1,2,415.631525
9,10,441.757518
0,1,446.343094
18,19,496.922533
1,2,500.142151
9,10,524.877478
12,13,555.714148
5,6,573.113169
2,3,578.196222
3,4,590.696587
14,15,626.145369
12,13,661.144897
22,23,721.433627
1,2,727.09945
41,42,829.588455
20,21,885.571458
1,2,889.216927
3,4,902.953051
40,41,1008.557417
21,22,1062.360568
5,6,1076.567842
23,24,1142.884494
1,2,1148.847299
3,4,1160.038929
11,12,1184.990698
11,12,1221.08885
1,2,1227.71876
1,2,1232.582261
16,17,1272.807346
11,12,1306.00831
1,2,1309.670918
7,8,1330.181328
22,23,1390.638991
1,2,1395.873092
11,12,1423.944402
17,18,1470.586445
2,3,1478.806787
4,5,1495.003048
7,8,1516.454007
3,4,1525.912815
2,3,1535.14371
9,10,1560.129303
29,30,1639.605111
3,4,1651.77109
31,32,1737.71544
10,11,1769.020601
11,12,1804.624501
2,3,1812.0416
21,22,1872.130465
2,3,1882.810098
14,15,1918.369558
13,14,1955.234993
4,5,1968.697507
10,11,2005.416852
1,2,2013.228176
7,8,2033.684816
6,7,2048.837431
23,24,2113.125837
10,11,2142.516895
10,11,2168.451175
5,6,2186.520688
2,3,2197.207202
21,22,2257.262773
3,4,2271.639435
7,8,2289.879525
6,7,2304.436999
49,49,2426.523842
5,6,2443.08117
14,15,2480.264173
0,1,2485.037282
35,36,2570.602542
12,13,2601.180612
5,6,2619.069648
43,44,2732.332056
4,5,2743.411691
3,4,2752.79598
33,34,2836.168206
49,49,2977.927371
11,12,3011.717516
35,36,3102.878349
13,14,3137.675292
0,1,3140.634285
10,11,3167.799859
24,25,3230.883547
3,4,3242.096326
6,7,3259.170792
17,18,3303.414718
0,1,3305.458708
2,3,3313.518683
47,48,3442.108757
46,47,3560.375187
13,14,3588.319938
8,9,3603.798329
6,7,3620.380035
12,13,3654.346292
12,13,3688.534547
6,7,3704.60731
13,14,3742.953539
1,2,3749.578465
0,1,3750.949413
7,8,3768.766257
7,8,3788.624107
3,4,3802.367568
6,7,3819.812298
3,4,3835.431755
5,6,3850.948389
41,42,3964.152431
37,38,4067.523592
5,6,4086.579611
12,13,4123.170615
1,2,4129.981996
2,3,4137.586021
29,30,4220.679978
35,36,4322.560456
1,2,4327.566059
18,19,4374.030342
2,3,4381.225055
42,43,4486.052168
6,7,4500.779251
10,11,4525.876593
7,8,4545.316211
10,11,4570.559055
4,5,4585.473231
13,14,4625.634082
46,47,4742.739655
21,22,4800.319882
0,1,4802.022779
6,7,4817.903686
11,12,4848.041915
13,14,4881.273518
27,28,4957.396177
49,49,5085.001453
7,8,5109.359849
27,28,5174.513139
1,2,5178.865052
1,2,5187.003056
14,15,5225.18117
47,48,5340.705968
2,3,5348.595855
0,1,5352.521188
9,10,5376.911843
8,9,5403.082885
49,49,5525.782191
4,5,5536.343089
8,9,5563.802059
5,6,5580.289357
3,4,5587.181526
3,4,5597.970676
14,15,5635.429638
16,17,5677.673229
46,47,5792.349672
12,13,5821.630414
42,43,5943.630518
34,35,6019.566894
11,12,6052.583151
8,9,6074.778327
18,19,6119.913693
0,1,6121.641857
15,16,6164.285776
24,25,6227.673738
7,8,6244.360834
13,14,6283.430553
1,2,6287.825693
36,37,6386.055857
26,27,6458.064974
1,2,6462.231414
35,36,6549.601734
28,29,6621.71818
2,3,6630.607904
3,4,6644.762364
11,12,6675.667216
1,2,6679.562941
49,49,6805.121349
1,2,6808.836458
7,8,6829.50513
16,17,6867.951055
28,29,6941.639318
49,49,7077.594714
9,10,7103.072
2,3,7108.316347
42,43,7223.105953
17,18,7270.685363
2,3,7277.78714
22,23,7326.960537
23,24,7383.433756
23,24,7439.602265
3,4,7448.958685
13,14,7480.05875
23,24,7541.556452
0,1,7543.558486
4,5,7558.932073
7,8,7576.196949
37,38,7684.336125
1,2,7690.358304
5,6,7704.341163
23,24,7769.527663
1,2,7774.066286
12,13,7814.163646
17,18,7859.330554
0,1,7861.301657
4,5,7875.087711
6,7,7887.334127
1,2,7895.178956
26,27,7952.837744
4,5,7967.08247
17,18,8006.994464
28,29,8079.667806
7,8,8096.726639
13,14,8130.252961
5,6,8145.180426
31,32,8216.766284
26,27,8282.004538
13,14,8320.617634
31,32,8401.928117
3,4,8414.333984
49,49,8543.350219
8,9,8567.857321
14,15,8603.639457
7,8,8619.689558
1,2,8623.386626
45,46,8732.862592
1,2,8738.211809
37,38,8836.021508
49,49,8944.82332
2,3,8957.593956
5,6,8972.263578
6,7,8987.785783
49,49,9102.508531
16,17,9149.909263
9,10,9171.591346
0,1,9178.550277
20,21,9228.317206
1,2,9232.998013
23,24,9293.293358
28,29,9367.524131
9,10,9390.811717
0,1,9395.061641
0,1,9395.850093
36,37,9489.157235
17,18,9534.438993
33,34,9612.901552
29,30,9688.55953
3,4,9696.914638
47,48,9802.641832
12,13,9841.073661
34,35,9921.482806
10,11,9945.716927
0,1,9947.776384
15,16,9994.071519
13,14,10025.536073
4,5,10035.258518
18,19,10079.664685
49,49,10198.497592
49,49,10303.678428
3,4,10316.179232
46,47,10436.283139
0,1,10440.080632
48,49,10544.502791
10,11,10569.718017
29,30,10650.008079
49,49,10764.462555
26,27,10826.146488
0,1,10831.056694
26,27,10889.699525
32,33,10964.326635
49,49,11083.465236
47,48,11191.894961
22,23,11249.756854
0,1,11252.164545
7,8,11265.274546
14,15,11302.41576
49,49,11426.019148
33,34,11502.756919
12,13,11532.940387
49,49,11650.00057
8,9,11671.789594
12,13,11704.621171
49,49,11831.846408
39,40,11928.574609
30,31,12009.694255
4,5,12021.389392
2,3,12028.526056
9,10,12053.497927
42,43,12163.852786
3,4,12174.208887
49,49,12286.178251
49,49,12403.896309
8,9,12424.104931
23,24,12476.58988
49,49,12591.182329
18,19,12639.72945
2,3,12645.398599
13,14,12683.56364
26,27,12759.770954
18,19,12806.33914
29,30,12883.216141
8,9,12911.260765
12,13,12942.544072
1,2,12946.434732
35,36,13028.7845
5,6,13041.540767
1,2,13046.236279
1,2,13055.091045
11,12,13085.990085
8,9,13113.119791
15,16,13151.188027
34,35,13234.241053
1,2,13240.599139
49,49,13352.711311
14,15,13398.638848
0,1,13399.81285
9,10,13425.85939
0,1,13428.594886
49,49,13540.660745
15,16,13581.762855
49,49,13703.162331
10,11,13727.902848
37,38,13823.539517
20,21,13871.380397
10,11,13894.301785
0,1,13896.149637
41,42,13992.299164
14,15,14023.923381
8,9,14041.182448
1,2,14052.472528
42,43,14158.649802
49,49,14290.922463
24,25,14355.053012
25,26,14412.169658
5,6,14427.46568
11,12,14453.952697
10,11,14480.800195
17,18,14523.202231
19,20,14563.658345
3,4,14571.094713
49,49,14689.94053
1,2,14697.032198
6,7,14711.553668
14,15,14746.604578
49,49,14858.475321
16,17,14900.861631
2,3,14906.114511
26,27,14975.415321
35,36,15065.331783
30,31,15142.405979
49,49,15262.471242
2,3,15268.962493
17,18,15313.551081
16,17,15355.406915
6,7,15371.519
17,18,15411.805586
12,13,15447.962343
17,18,15488.539486
15,16,15532.827676
3,4,15541.257599
18,19,15587.78546
9,10,15612.099354
49,49,15724.826154
44,45,15823.360853
3,4,15831.06826
49,49,15932.407871
9,10,15952.929873
30,31,16029.534443
6,7,16043.396288
42,43,16145.56663
30,31,16215.225993
36,37,16300.000289
4,5,16312.039748
4,5,16326.079901
18,19,16361.823813
16,17,16400.011826
49,49,16498.979455
22,23,16554.298727
14,15,16598.935884
0,1,16600.917177
24,25,16661.379464
4,5,16671.214405
28,29,16749.482106
43,44,16857.555454
6,7,16875.203972
0,1,16875.979728
49,49,16987.581485
49,49,17098.582738
11,12,17132.482022
49,49,17240.475439
36,37,17327.198438
43,44,17420.731308
18,19,17464.574966
49,49,17572.405543
49,49,17687.956476
49,49,17794.147303
49,49,17917.833405
10,11,17946.536994
32,33,18020.11769
1,2,18024.499052
9,10,18044.848835
49,49,18148.851362
17,18,18186.295748
1,2,18190.972814
49,49,18313.906042
1,2,18319.3908
5,6,18335.32911
49,49,18438.619259
49,49,18553.32335
32,33,18627.109425
49,49,18737.181182
11,12,18765.962684
0,1,18767.115587
5,6,18780.587378
3,4,18788.091087
0,1,18789.372891
31,32,18858.453183
5,6,18872.393673
49,49,19002.464228
49,49,19121.537366
15,16,19155.941643
34,35,19232.408598
1,2,19237.239253
5,6,19252.025659
32,33,19332.697222
48,49,19443.907827
49,49,19555.737685
49,49,19663.891397
4,5,19673.505537
49,49,19782.035416
15,16,19815.291064
17,18,19857.339912
0,1,19862.92031
17,18,19909.831246
49,49,20013.315201
49,49,20114.084416
15,16,20150.601593
1,2,20158.67706
3,4,20166.49771
4,5,20175.074178
49,49,20285.496833
6,7,20297.781305
41,42,20393.636955
49,49,20495.772415
1,2,20500.167015
6,7,20516.239022
4,5,20527.013346
23,24,20581.756913
49,49,20696.120018
49,49,20797.89741
17,18,20831.920482
12,13,20858.927055
49,49,20963.092339
2,3,20972.221731
29,30,21044.377946
49,49,21150.387559
0,1,21152.616062
0,1,21154.673065
15,16,21194.369882
4,5,21207.181138
49,49,21311.055271
30,31,21379.324652
35,36,21448.743348
35,36,21536.027571
49,49,21643.594381
20,21,21696.027692
49,49,21802.914216
38,39,21887.930522
2,3,21897.869127
19,20,21937.28671
31,32,22015.635239
49,49,22119.06025
49,49,22224.99243
1,2,22227.626393
49,49,22329.364457
21,22,22377.190937
49,49,22482.875477
19,20,22529.269104
39,40,22623.397498
49,49,22732.161836
26,27,22786.902186
27,28,22845.843275
7,8,22865.877717
2,3,22871.686744
31,32,22949.139357
6,7,22969.857319
13,14,22999.82127
17,18,23040.422541
49,49,23137.195602
25,26,23199.555879
1,2,23203.292875
2,3,23209.732631
11,12,23238.736978
33,34,23315.527943
46,47,23420.086954
5,6,23433.909648
49,49,23547.148488
32,33,23622.937253
1,2,23626.634629
49,49,23733.438215
20,21,23778.696032
14,15,23814.122369
17,18,23856.224881
14,15,23889.119287
1,2,23892.695471
3,4,23899.977298
49,49,24008.226306
49,49,24105.45679
7,8,24119.580136
49,49,24229.433249
40,41,24325.14474
1,2,24330.662716
12,13,24360.528265
0,1,24362.901071
0,1,24368.168902
49,49,24478.363363
1,2,24481.709056
49,49,24590.908405
10,11,24613.657013
39,40,24704.248129
17,18,24748.089814
14,15,24786.969187
49,49,24897.053174
15,16,24932.275674
19,20,24982.468463
2,3,24993.543997
49,49,25104.307278
6,7,25119.618814
5,6,25132.841985
5,6,25143.863537
49,49,25261.149511
27,28,25331.047517
49,49,25444.076406
37,38,25510.826031
49,49,25621.278522
20,21,25666.994854
13,14,25699.32831
44,45,25802.837129
0,1,25804.194408
0,1,25805.477001
40,41,25895.907346
26,27,25948.026052
49,49,26050.519299
22,23,26103.134044
49,49,26213.076445
32,33,26288.026873
16,17,26327.225467
27,28,26387.445179
49,49,26500.369832
3,4,26508.133818
9,10,26530.423432
39,40,26616.752452
48,49,26719.438097
49,49,26824.153355
49,49,26936.481483
20,21,26980.15402
5,6,26991.857721
18,19,27044.325844
0,1,27047.05825
11,12,27075.40135
8,9,27095.841061
13,14,27132.557406
25,26,27191.472258
43,44,27296.381506
22,23,27351.062968
49,49,27451.83825
12,13,27478.18829
49,49,27574.010481
27,28,27638.286669
1,2,27641.22539
49,49,27745.585299
49,49,27850.409354
37,38,27929.677253
13,14,27963.12438
17,18,27993.808003
7,8,28019.121716
49,49,28126.07332
14,15,28160.476013
30,31,28234.588663
49,49,28358.681252
13,14,28387.66154
49,49,28493.501311
43,44,28592.605485
44,45,28683.803891
22,23,28732.798495
1,2,28738.977258
43,44,28823.871417
34,35,28898.559462
24,25,28958.246
49,49,29064.528446
13,14,29089.829539
5,6,29105.16597
1,2,29108.955837
28,29,29173.602196
0,1,29175.089477
20,21,29219.640403
49,49,29321.457067
37,38,29402.341475
9,10,29421.665361
2,3,29428.681828
49,49,29544.160157
49,49,29650.90447
49,49,29749.207341
19,20,29791.021052
49,49,29902.977057
49,49,30009.860279
4,5,30018.914917
49,49,30124.903274
8,9,30145.232419
26,27,30204.084774
2,3,30211.740433
36,37,30291.498533
7,8,30313.147868
11,12,30341.541451
6,7,30356.200851
49,49,30449.396214
24,25,30501.568739
49,49,30601.139399
20,21,30641.411327
49,49,30741.914639
21,22,30792.268697
34,35,30868.330832
37,38,30943.562364
39,40,31036.609011
49,49,31140.673525
49,49,31241.250057
29,30,31309.287116
2,3,31314.920165
22,23,31367.883543
12,13,31402.887631
4,5,31412.881821
49,49,31513.106508
38,39,31592.388392
49,49,31705.751416
49,49,31808.763304
22,23,31862.723768
47,48,31971.395031
20,21,32015.28896
7,8,32032.807221
36,37,32117.792403
49,49,32222.606221
19,20,32260.602664
13,14,32289.056955
15,16,32325.622321
49,49,32445.497373
3,4,32457.7001
5,6,32470.941307
46,47,32572.716574
49,49,32678.844355
2,3,32685.680329
49,49,32793.287133
49,49,32891.80364
28,29,32955.270172
7,8,32967.918075
4,5,32976.702047
0,1,32979.46942
45,46,33073.165099
34,35,33148.586788
49,49,33260.472453
49,49,33356.247305
35,36,33438.789918
49,49,33533.837669
6,7,33551.92983
16,17,33583.021694
49,49,33694.792248
4,5,33707.000629
22,23,33754.604892
49,49,33852.39175
6,7,33867.152356
44,45,33954.584005
49,49,34052.997615
1,2,34057.100903
26,27,34107.957541
16,17,34144.30024
47,48,34244.507534
49,49,34334.732361
49,49,34433.688768
29,30,34494.183659
37,38,34578.991144
49,49,34671.112367
35,36,34750.533349
49,49,34865.876479
43,44,34954.458559
49,49,35054.424328
31,32,35117.846852
3,4,35129.04382
49,49,35224.54442
21,22,35267.017718
28,29,35323.30986
49,49,35425.338127
49,49,35526.624277
49,49,35647.129348
36,37,35724.918844
26,27,35776.915561
29,30,35837.228326
49,49,35947.52458
16,17,35978.673385
39,40,36054.855848
4,5,36069.109005
49,49,36163.175821
3,4,36171.92356
17,18,36215.417979
49,49,36309.492173
49,49,36410.066312
30,31,36472.954947
49,49,36567.323572
49,49,36672.72858
49,49,36779.175404
49,49,36886.037411
15,16,36918.554122
18,19,36959.571463
27,28,37022.488874
6,7,37043.44687
1,2,37047.778163
26,27,37098.018723
4,5,37106.768812
49,49,37209.877422
4,5,37218.950501
49,49,37320.896663
49,49,37416.599369
1,2,37423.116514
7,8,37440.406259
11,12,37470.095036
49,49,37576.402556
49,49,37676.574178
1,2,37681.476862
1,2,37687.445442
49,49,37790.20386
34,35,37863.723567
49,49,37967.230334
14,15,37999.415107
49,49,38097.704343
49,49,38210.27253
49,49,38311.532591
21,22,38366.058582
49,49,38478.020389
1,2,38481.484459
49,49,38583.487386
38,39,38674.030694
10,11,38691.433552
12,13,38713.026597
49,49,38817.378596
0,1,38821.320456
47,48,38920.590711
14,15,38952.322548
11,12,38975.829023
49,49,39073.570585
7,8,39086.434546
49,49,39199.014561
49,49,39296.687447
49,49,39403.182212
49,49,39509.69985
3,4,39518.352301
33,34,39580.71873
2,3,39585.549319
2,3,39591.467107
23,24,39639.688208
16,17,39674.906498
49,49,39782.705309
49,49,39877.839358
49,49,39983.310336
23,24,40029.95745
10,11,40056.399085
30,31,40126.451214
9,10,40142.302287
49,49,40244.093653
5,6,40258.520935
46,47,40350.025877
14,15,40387.02344
49,49,40494.986391
49,49,40587.020103
4,5,40599.580313
49,49,40697.383447
49,49,40801.037267
49,49,40904.323366
38,39,40982.710791
32,33,41045.226
49,49,41146.709406
3,4,41157.82794
34,35,41237.67644
49,49,41330.254399
22,23,41378.996156
38,39,41452.242267
49,49,41546.081417
47,48,41645.509024
9,10,41666.006908
2,3,41674.352195
4,5,41685.844673
49,49,41788.858503
44,45,41881.254191
49,49,41978.699539
49,49,42070.795404
23,24,42130.198564
49,49,42240.896514
48,49,42343.183545
49,49,42444.326185
49,49,42536.272615
49,49,42637.176674
49,49,42738.523617
15,16,42774.426652
21,22,42817.034906
1,2,42821.806238
25,26,42879.108269
15,16,42911.261346
8,9,42927.652973
49,49,43033.751449
23,24,43087.159657
15,16,43116.912262
32,33,43185.333094
49,49,43279.078441
49,49,43376.698482
8,9,43392.966066
9,10,43412.785798
24,25,43457.554204
49,49,43552.682113
2,3,43562.584912
49,49,43655.846283
7,8,43672.370677
49,49,43766.698561
25,26,43826.268168
40,41,43910.389725
49,49,44011.181388
5,6,44022.754987
49,49,44128.169444
22,23,44179.539552
45,46,44280.450709
9,10,44300.373647
49,49,44407.197167
10,11,44430.877201
32,33,44497.270873
49,49,44593.132838
31,32,44654.933034
2,3,44662.362985
5,6,44677.756211
8,9,44693.745675
30,31,44763.810498
36,37,44830.724671
49,49,44941.070386
49,49,45043.320545
7,8,45059.340201
33,34,45124.946814
22,23,45169.27932
49,49,45267.578236
49,49,45370.228318
1,2,45375.740733
49,49,45476.23134
49,49,45581.645667
41,42,45668.067495
11,12,45694.421846
49,49,45790.446274
4,5,45803.121307
42,43,45895.827542
10,11,45915.616329
9,10,45936.386554
16,17,45972.657058
12,13,45997.770689
48,49,46106.840158
49,49,46210.154423
27,28,46265.639911
13,14,46291.31616
12,13,46319.575783
19,20,46365.265867
39,40,46456.073743
30,31,46528.906928
21,22,46569.858167
25,26,46623.856568
12,13,46649.203827
47,48,46756.242044
49,49,46857.929358
22,23,46903.80687
49,49,47000.054251
40,41,47085.344347
49,49,47185.366379
27,28,47242.124559
49,49,47355.929134
11,12,47379.560033
36,37,47454.769691
26,27,47511.304316
17,18,47543.408506
30,31,47608.140489
14,15,47633.475928
41,42,47718.117614
49,49,47822.671382
2,3,47827.739652
6,7,47838.532979
6,7,47851.721173
34,35,47922.153212
49,49,48016.700366
3,4,48024.410872
49,49,48120.596727
49,49,48223.424469
3,4,48234.865843
49,49,48333.809553
49,49,48432.977191
49,49,48530.979355
49,49,48627.390273
26,27,48683.366981
34,35,48749.750635
49,49,48849.77367
1,2,48855.291057
49,49,48958.774217
37,38,49037.409935
49,49,49137.971884
49,49,49249.019381
49,49,49343.727175
0,1,49347.944179
47,48,49449.320161
4,5,49457.119264
24,25,49515.733132
49,49,49623.789528
21,22,49670.746804
28,29,49731.038612
49,49,49842.299122
12,13,49865.989135
2,3,49871.413701
37,38,49950.152346
2,3,49958.466
49,49,50056.635278
7,8,50074.673192
30,31,50138.823463
2,3,50145.604534
49,49,50243.786281
14,15,50274.490398
49,49,50376.648288
49,49,50485.839414
49,49,50584.961122
12,13,50613.084903
49,49,50710.997293
26,27,50767.739445
49,49,50869.287532
10,11,50892.788792
28,29,50954.096122
13,14,50983.784375
7,8,51003.868855
46,47,51112.031043
49,49,51218.208233
49,49,51316.253027
49,49,51416.723426
1,2,51419.325817
16,17,51460.04283
11,12,51480.611012
39,40,51565.580861
49,49,51666.200306
49,49,51763.612151
34,35,51835.731144
28,29,51893.918276
49,49,51996.911356
49,49,52087.995136
49,49,52182.771749
49,49,52280.989542
49,49,52386.258121
49,49,52481.750689
12,13,52511.304037
43,44,52597.440022
49,49,52705.337851
49,49,52793.038695
49,49,52884.85316
49,49,53002.550411
20,21,53047.266597
2,3,53051.449465
49,49,53157.1042
19,20,53199.429054
