timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,H_sum
1024,35.43920860000001,15.100030122885922,4.894206701905726,15.444971791,-1.1434051768477342,19.20398514544741
2048,19.6379183,8.172019126797505,3.0172161489732203,8.44868299,-1.4036733847905118,13.80735738784521
3072,26.8426945,11.71455911807693,3.4633676257846715,11.664767756,-0.7304478371165262,15.33430480274222
4096,37.660567199999996,16.413583577793123,4.664125824208207,16.582857779,-0.7250983278841796,21.097640763762318
5120,22.145091400000002,9.750376141149152,2.774103887556149,9.620611262,-0.36338931917527345,12.886485683548011
6144,38.98076110000001,17.42024551381263,4.370569468901923,17.1899460976,-0.9707762692411344,21.28591160334135
7168,24.521473300000004,10.974786292961387,2.8534668899982387,10.6932201856,-0.35765869665228534,13.588742855872999
8192,19.881525000000003,8.496379029282085,3.069156295599876,8.3159896674,-1.303431984022639,13.892764092107333
9216,31.308193499999998,13.89723226336678,3.6020781882573636,13.808883058700001,-0.9228772762181349,16.136396586240465
10240,45.8559249,20.399165232980888,4.959342985565539,20.497416736,-1.245950318892158,23.528672835295936
11264,30.5275628,13.631824887159505,3.5840333889337908,13.311704504,-0.6049668234634351,16.816675147728215
12288,24.7076254,10.822422992650996,3.309187105479728,10.57601533,-0.7058940866320327,15.320229964791249
13312,22.0410381,9.619353775071021,3.223611318380068,9.1980732067,-0.664280464296761,14.69755858228099
14336,14.229979700000001,6.34598223894167,1.788110197444271,6.095887243,-0.1823647726592041,8.53202765600933
15360,41.09592299999999,18.34259230053653,4.309964565154168,18.443366053,-1.2957130317646635,20.887595716944574
16384,37.7247506,16.665394184274643,4.201650869554553,16.857705644,-1.234433121528101,20.272610045576585
17408,32.918678500000006,14.483170247283606,3.851474778115017,14.584033360000003,-0.8751680685203643,17.667643677011732
18432,38.278504,16.98898055752845,4.3179622552135974,16.971561187,-0.5934923359270435,20.341350901113795
19456,24.7605563,10.733594916033384,3.221104320970574,10.805857098999999,-0.9268743746132626,14.849808524685978
20480,34.5465061,15.047885764516172,4.45480301364648,15.043817389999997,-1.0755867776562702,19.852413988612504
21504,24.280534199999998,10.728414205991378,2.584446231370597,10.967673833700001,-0.9390933791255829,13.18598280841924
22528,42.745022399999996,18.631508951483788,5.309329038734566,18.8041842286,-1.5410168512826314,24.18919135730365
23552,45.097624100000004,20.080373306514076,4.7488280293588145,20.268422717,-1.3503868591011137,23.687301158157297
24576,36.1290393,15.958860796540865,4.24722807309937,15.9229502237,-1.4930214240960482,20.768474969727357
