#{"t_start": 1620973483.3305087, "env_id": "mario_puzzle-v0"}
r,l,t
15.973637,10,33.537863
8.991585,5,46.93491
21.590085,11,70.612381
13.973729,7,90.238627
9.796816,5,102.020719
42.013038,22,153.245159
9.935773,5,165.647886
1.99368,1,167.657192
5.993591,3,176.339947
11.522336,6,187.49284
3.010568,2,196.725951
34.772059,19,249.327681
14.716543,8,266.611534
35.104256,18,321.064597
1.996667,1,323.57552
45.009979,23,396.623639
9.956352,5,409.413338
5.924712,3,417.196382
17.342929,9,439.345013
32.738234,17,484.777821
15.58543,8,505.775666
10.994491,6,520.973103
9.0,5,533.753336
25.588266,13,565.590356
10.37253,6,581.042835
8.931053,5,593.976762
30.618472,16,635.021245
11.983721,6,655.604913
8.840109,5,674.199633
4.994732,3,680.781499
24.222451,13,720.673744
17.584164,9,743.643292
10.873784,6,759.249585
24.526463,13,789.945617
11.853646,6,805.201633
34.697667,18,855.007117
17.713454,10,887.691045
27.068618,14,923.355572
42.529506,22,982.926037
3.999553,2,989.410287
41.3474,22,1044.169242
20.977575,11,1072.861248
9.136381,5,1085.026014
3.953727,2,1088.396459
5.616265,3,1095.252446
0.982794,1,1096.321795
5.608646,3,1103.050722
16.932464,9,1127.728743
24.493186,13,1156.450551
112.57458,57,1303.1691
18.595511,10,1329.580573
27.788852,14,1368.288934
36.646034,19,1419.542402
47.476609,24,1481.641936
3.950596,2,1487.628693
27.046067,14,1526.320008
8.978685,5,1538.846457
13.9256,7,1560.056522
29.220149,15,1599.835645
13.73336,7,1616.784022
17.590627,9,1639.003362
156.978448,79,1844.755094
17.918436,9,1873.317173
3.944203,2,1883.269002
11.982739,6,1897.477848
23.86154,12,1922.870058
7.853475,5,1936.65466
21.938569,12,1964.548184
36.83815,19,2016.712604
16.924605,9,2039.591383
2.997284,2,2044.367063
8.867824,5,2057.284067
41.428518,21,2119.783143
5.983527,3,2129.327445
23.784962,12,2164.684685
45.879166,24,2225.759018
40.877512,21,2282.966688
22.876836,12,2308.13672
13.950872,7,2333.126534
21.049107,11,2360.247747
17.984513,9,2383.665348
7.971526,4,2390.904225
5.943579,3,2400.768414
5.980805,3,2406.839077
12.810833,7,2425.700825
6.964781,4,2434.564994
9.98247,5,2445.410624
14.737634,8,2465.416221
11.0,6,2480.310423
9.989966,5,2495.03232
4.984665,3,2501.773795
3.40313,2,2510.703258
5.0,3,2516.133369
5.93965,3,2524.681262
13.969336,7,2547.293938
17.021171,9,2568.905047
8.984385,5,2585.703069
9.557197,5,2596.73594
3.027893,2,2604.604509
5.923548,3,2614.603163
27.391186,14,2654.3356
5.0,3,2666.397239
11.994405,6,2678.184839
38.999755,20,2729.214844
12.999945,7,2748.730458
21.995368,11,2779.026082
8.959266,5,2791.449536
15.940421,8,2809.256127
39.802917,20,2860.459277
7.854464,4,2874.559995
9.791823,5,2887.018407
13.832622,7,2902.147782
32.919659,17,2949.736287
42.74194,22,3001.018711
21.852928,11,3031.418685
0.992361,1,3033.154824
27.518969,14,3071.243338
2.998686,2,3076.791689
24.655164,13,3108.281556
13.734147,7,3131.88344
5.99245,3,3139.174527
15.625019,8,3155.910202
26.923175,14,3192.79267
7.983036,4,3205.746228
12.963088,7,3226.086385
42.212788,22,3287.944987
28.894571,15,3334.319402
15.452332,8,3352.051721
10.930811,6,3367.497347
2.962856,2,3373.387746
30.930723,16,3421.980027
7.977871,4,3432.022469
24.79783,13,3462.796035
7.820485,4,3472.05873
1.992604,1,3476.976321
76.06247,39,3576.396953
9.958279,5,3587.593229
14.968872,8,3608.200456
3.993416,2,3612.739639
22.97939,12,3637.886162
3.983036,2,3642.840462
50.771782,26,3711.242951
19.86471,10,3741.805081
13.776113,7,3756.552534
36.954412,19,3805.703594
64.750204,33,3893.972279
2.918208,2,3897.777179
101.64438,52,4023.866385
12.949729,7,4041.504752
3.0,2,4044.37946
32.957108,17,4087.548404
4.974712,3,4097.877147
25.94053,13,4135.050261
3.904775,2,4140.15862
17.522822,9,4166.428557
23.848556,12,4197.198677
34.507716,18,4240.565052
3.949227,2,4245.535553
13.710077,7,4263.767696
17.493778,9,4289.77027
80.539768,41,4390.066904
12.996667,7,4408.145916
3.926422,2,4416.237177
69.697708,35,4507.700751
11.902965,6,4519.638263
9.63325,5,4530.433119
9.598285,5,4540.199359
48.968622,25,4601.516768
27.646682,14,4642.338841
13.899742,7,4660.495152
39.834585,20,4712.366479
14.967169,8,4727.085819
27.934934,14,4760.211663
60.830705,31,4831.353766
31.01331,16,4870.274793
11.438322,6,4887.612472
1.0,1,4889.600771
5.054054,3,4899.865578
7.950596,4,4911.027625
38.944309,20,4963.888312
17.840779,9,4982.055561
9.738888,5,4995.751261
8.984956,5,5008.270907
46.392228,25,5067.703544
51.386187,26,5134.057343
87.457287,45,5242.673227
47.514024,24,5312.603769
86.562851,44,5424.446228
1.990718,1,5426.988901
57.363484,30,5504.310821
38.465496,20,5556.700668
