timesteps,reward,rewF_sum,rewH_sum,rewP_sum,F_sum,N_sum
178176,47.9719813,24.17106302,0,23.80091834,-1.043470933,0
180224,103.7923563,51.38805396,0,52.4043022,-3.225330687,0
182272,94.5620059,46.99034006,0,47.57166572,-2.2408504,0
184320,74.5641591,37.17420994,0,37.38994923,-1.431293485,0
186368,96.2571815,47.9499282,0,48.30725332,-2.184913556,0
188416,31.4527151,15.75767642,0,15.69503858,-1.109803708,0
190464,46.9270493,23.38453414,0,23.54251518,-1.441323126,0
192512,61.6114781,30.6465058,0,30.9649723,-1.950924597,0
194560,94.6699863,47.07061838,0,47.59936801,-2.706692205,0
196608,87.2389999,43.44125317,0,43.79774669,-2.357597348,0
198656,65.1794733,32.52835796,0,32.65111533,-1.156630843,0
200704,28.874928,14.6834257,0,14.19150229,-0.490441321,0
202752,55.6778311,27.97563581,0,27.70219534,-1.19217631,0
204800,85.1705918,42.4835031,0,42.68708872,-1.807229752,0
206848,40.9200173,20.64218934,0,20.27782806,-0.580156249,0
208896,38.8393658,19.54149111,0,19.29787456,-1.242618666,0
210944,95.2720913,47.47389512,0,47.79819614,-2.455612923,0
212992,77.3750247,38.55885474,0,38.81616988,-2.007175152,0
215040,60.7244287,30.22934762,0,30.49508105,-2.048712448,0
217088,45.1473501,22.71195223,0,22.43539802,-1.11640031,0
219136,90.7657722,45.26331894,0,45.50245348,-1.930890407,0
221184,62.8211154,31.34421032,0,31.47690514,-1.879827209,0
223232,80.6375605,40.0998802,0,40.53768022,-1.668489441,0
225280,113.1095031,56.38270824,0,56.7267949,-2.225121482,0
227328,45.7777458,22.72502827,0,23.05271758,-1.864833294,0
229376,78.2968535,39.26658503,0,39.03026872,-1.10278856,0
231424,93.6475079,46.74619721,0,46.90131071,-1.783429907,0
233472,79.2187646,39.55187944,0,39.66688518,-1.748031912,0
235520,53.3592658,26.83778768,0,26.5214781,-0.55458028,0
237568,79.1359161,39.33909353,0,39.79682238,-2.126476909,0
239616,98.7143757,49.20913605,0,49.50523968,-1.716668521,0
241664,57.6102722,28.93375542,0,28.67651681,-0.921975666,0
243712,75.2390287,37.65293032,0,37.58609854,-1.743195592,0
245760,46.2272647,23.13502585,0,23.09223902,-1.061833935,0
247808,72.865577,36.36318733,0,36.50238953,-1.843279849,0
249856,98.3787761,49.1158759,0,49.26290011,-1.886660069,0
251904,47.3372495,23.74527593,0,23.59197355,-1.003460682,0
253952,68.1662811,33.84040098,0,34.32588031,-1.892642548,0
256000,90.0829254,44.70326386,0,45.37966164,-2.50533472,0
258048,66.6104308,33.23659561,0,33.37383537,-2.00291825,0
260096,92.8816059,46.37374772,0,46.50785822,-1.924174303,0
262144,96.6753344,48.18124365,0,48.49409078,-2.222377801,0
264192,85.2760049,42.3694409,0,42.90656386,-1.971968423,0
266240,69.5046225,34.6069211,0,34.89770129,-2.465867554,0
268288,58.0525326,29.24369554,0,28.80883709,-1.086696001,0
270336,86.1328919,42.87763837,0,43.25525349,-1.834579515,0
272384,126.0699627,62.74308778,0,63.326875,-3.02523699,0
274432,75.6062632,37.80723391,0,37.79902916,-1.424812704,0
276480,80.7466844,40.29638572,0,40.45029869,-1.994163682,0
278528,83.3598101,41.37799764,0,41.98181237,-2.817313586,0
280576,65.4879981,32.79311048,0,32.69488759,-1.244302994,0
282624,88.8342077,44.34647542,0,44.48773235,-1.712449312,0
284672,53.0956062,26.59623821,0,26.49936801,-1.502867322,0
286720,50.1067857,25.14983907,0,24.95694667,-0.964972828,0
288768,112.9521564,56.34837953,0,56.60377685,-1.857007154,0
290816,90.0696079,44.77041155,0,45.29919629,-2.108876691,0
292864,84.1013278,41.7753363,0,42.32599139,-2.252742758,0
294912,46.7414868,23.54208695,0,23.19939991,-0.863309119,0
