#{"t_start": 1623467574.994498, "env_id": "mario_puzzle-v0"}
r,l,t
0.996652,2,9.717133
1.935976,3,18.947367
9.392088,11,47.898176
9.507224,11,81.176165
8.280781,10,106.653929
5.29578,7,126.917074
0,1,131.153717
5.555564,7,151.923978
10.127356,12,182.726646
24.813725,28,257.977889
0,1,259.476798
1.944053,3,268.417637
0,1,271.866449
3.834563,5,291.723684
15.087842,17,332.329154
6.529299,8,356.025933
8.328592,10,390.273117
5.744598,7,405.467648
1.937598,3,414.763286
10.870332,13,448.914311
2.795248,4,457.091663
5.577719,7,478.746212
7.602274,9,503.896649
3.80767,5,517.986041
15.883313,18,566.359341
2.366495,4,579.061488
15.921181,18,619.422299
0,1,621.146372
0.985806,2,626.973053
10.422592,12,655.494925
11.556358,14,694.733507
16.93045,19,743.290766
9.797142,12,769.138172
6.202746,8,791.161108
1.94266,3,797.367308
3.848401,5,810.498827
39.054595,43,926.107398
14.140859,16,965.904638
10.489465,12,996.301302
26.636667,30,1072.268758
4.743194,6,1085.654045
13.85014,16,1125.676997
1.947378,3,1136.421012
16.2569,19,1186.813316
3.828567,5,1197.038459
1.901051,3,1205.439475
34.928929,39,1309.541387
1.0,2,1317.957229
0,1,1319.023175
6.628687,8,1342.48277
11.932491,14,1382.077204
1.0,2,1389.146967
14.874138,17,1436.614283
28.906521,32,1515.643606
5.734933,7,1534.68362
0,1,1539.752854
1.95,3,1544.577771
13.96178,16,1595.893554
0.958082,2,1599.48761
7.600228,9,1625.002614
26.106991,29,1701.68008
10.416768,12,1733.54973
32.822657,37,1831.502007
0,1,1833.241497
2.9,4,1846.34315
5.666292,7,1869.012066
0.91741,2,1875.066943
1.943636,3,1881.342797
3.77459,5,1895.22876
14.11919,16,1940.546119
0,1,1947.925977
0,1,1948.710566
20.749666,23,2013.699259
23.54908,26,2089.228596
12.339252,14,2125.553288
3.691255,5,2137.532181
0,1,2141.694654
8.410772,10,2169.195864
0,1,2173.07213
4.795122,6,2190.206433
0.983177,2,2194.680627
57.811327,63,2361.032815
2.89675,4,2376.970484
11.951002,14,2412.941886
29.667691,33,2507.908395
0,1,2510.862688
7.414278,9,2540.391318
4.761092,6,2553.247085
8.4361,10,2575.882083
5.735171,7,2594.047994
14.564263,17,2641.611406
10.16418,12,2677.92672
0,1,2683.303439
19.55712,22,2740.766726
43.570485,48,2873.379002
15.036033,17,2922.396131
12.143563,14,2957.886208
5.596347,7,2978.100097
8.306302,10,3003.609211
3.849075,5,3015.994994
0,1,3019.30269
1.0,2,3023.703213
7.592508,9,3045.312765
4.79881,6,3063.151994
7.118139,9,3091.662541
0.999293,2,3099.190759
6.466929,8,3121.994499
6.452008,8,3148.593733
1.895473,3,3157.174243
7.644497,9,3184.506554
0.999632,2,3189.879207
12.723749,15,3227.93355
8.781723,11,3258.747935
9.50637,11,3286.164314
4.794145,6,3302.508643
11.810176,14,3338.705873
8.592255,10,3367.798626
32.409689,36,3464.801325
20.267046,23,3526.622006
0,1,3527.486166
9.671738,12,3560.424078
0,1,3564.290034
3.846486,5,3577.461707
12.091717,14,3612.636951
1.95,3,3622.432475
11.18869,13,3661.967235
1.95,3,3668.586316
0,1,3673.833906
1.0,2,3679.882253
4.614791,6,3693.015945
1.95,3,3698.763006
1.0,2,3704.129802
21.331051,24,3764.003619
0,1,3771.54502
9.484283,12,3804.149952
27.202255,31,3892.023358
9.459546,11,3916.229192
12.233855,14,3949.969277
0,1,3954.294819
12.231087,14,3990.654943
19.553685,22,4043.49171
2.854467,4,4054.735148
1.0,2,4061.158578
4.191252,6,4076.323987
0,1,4077.843425
19.597149,22,4140.30845
9.227646,11,4166.072465
48.603981,53,4305.113095
46.410201,51,4447.889373
12.552557,15,4486.170987
8.550538,10,4513.373794
9.117154,11,4540.843923
21.994568,25,4605.53204
35.68321,39,4702.845435
6.620458,8,4720.836004
3.81467,5,4734.737123
5.698017,7,4751.692955
1.0,2,4756.782399
2.899425,4,4772.236907
3.7868,5,4783.585434
32.63566,36,4880.80045
7.429238,9,4902.638035
1.947435,3,4910.622674
23.607308,26,4970.242367
2.873186,4,4982.263574
4.690969,6,5002.110828
9.548964,11,5027.652631
21.887172,25,5094.824141
0,1,5096.274311
36.445691,40,5198.88971
1.948752,3,5209.006386
4.794927,6,5223.316081
5.609278,7,5243.845036
4.683305,6,5265.537637
0,1,5269.246638
0,1,5275.590254
27.148624,30,5345.828405
0.958773,2,5350.29369
26.101355,29,5420.408698
1.92678,3,5430.944753
17.573915,20,5480.935092
3.848807,5,5494.563672
8.579756,10,5520.333667
31.837141,35,5600.108855
10.14937,12,5627.507582
4.693451,6,5640.203492
1.926879,3,5651.191639
39.591271,43,5765.94052
5.686951,7,5785.307148
3.85,5,5796.288092
0.963051,2,5801.920201
0,1,5803.142614
4.657535,6,5821.655441
6.607685,8,5843.284854
5.736966,7,5862.232021
0,1,5865.444781
10.468172,12,5891.332541
65.99,72,6076.701962
2.868423,4,6088.588112
15.871788,18,6138.573766
10.45156,12,6174.524832
20.662354,23,6227.191178
1.944302,3,6235.903605
1.95,3,6245.404816
16.599833,20,6291.136692
10.440913,12,6319.604282
3.812004,5,6329.697413
18.729199,21,6387.8612
2.859608,4,6402.657266
12.228736,14,6435.219081
90.178243,99,6686.308769
14.155523,16,6730.462354
30.887814,34,6817.817769
23.344106,26,6892.123717
9.527702,11,6914.637395
15.08606,17,6973.660968
14.009876,16,7021.016579
17.527243,20,7060.090236
0,1,7066.002873
0.999493,2,7068.616221
0.998355,2,7073.672274
5.605532,7,7093.515767
20.884061,23,7157.746421
3.754965,5,7169.237218
4.719906,6,7187.776207
22.982931,26,7243.839126
5.682065,7,7261.27765
1.0,2,7264.962251
9.249803,11,7292.209606
4.794778,6,7310.15286
20.684065,23,7372.317317
5.63138,7,7390.675256
6.982617,9,7411.088949
5.726498,7,7435.427585
33.843335,37,7527.655485
27.539749,31,7600.740021
7.281833,9,7622.612369
52.741125,58,7764.225752
34.202104,38,7853.836318
9.460144,11,7880.71556
6.346041,8,7902.768294
74.177244,81,8102.21119
4.538039,6,8118.073891
9.516459,11,8146.406909
23.982,27,8210.445149
16.681733,19,8258.68698
0.993129,2,8263.185073
12.135906,14,8294.427096
17.547017,20,8339.423624
6.269861,8,8363.800586
12.331965,14,8399.974233
15.854479,18,8449.756101
4.757018,6,8466.248923
17.21498,20,8524.135418
6.481349,8,8545.831381
73.384761,80,8768.350039
12.009287,14,8807.789642
0,1,8810.908389
0,1,8812.814623
12.049621,14,8852.596451
21.52426,24,8907.950472
9.373448,11,8939.240611
1.911621,3,8947.140631
26.925277,30,9028.129157
16.921171,19,9074.444931
15.902218,18,9122.777642
16.873541,19,9177.147373
18.60389,21,9233.377503
0,1,9236.232976
19.644196,22,9288.098801
0.974944,2,9297.184998
22.652821,26,9362.08033
54.017332,60,9520.885197
0.987056,2,9524.095617
5.659767,7,9544.284047
11.13543,13,9578.144988
18.146352,21,9632.098172
53.247258,58,9769.87164
2.885384,4,9780.33149
28.800998,32,9855.969983
45.804194,50,9994.849968
9.031541,11,10022.000111
22.407162,25,10085.457065
0.992903,2,10089.611557
1.913416,3,10099.844649
16.677789,19,10141.460191
10.381279,12,10168.022773
14.000062,16,10222.04698
12.205946,14,10258.127966
3.767567,5,10272.587488
2.780861,4,10280.154742
25.210823,28,10344.260974
26.163125,29,10411.385348
1.932248,3,10420.05492
11.323155,13,10445.293355
5.287109,7,10464.852469
1.95,3,10470.325158
33.331264,37,10552.698241
15.179911,17,10592.629294
0.994645,2,10596.14051
7.374075,9,10617.873148
54.103671,59,10757.283247
19.630841,22,10807.613026
0,1,10810.730444
14.981717,17,10854.279293
0.992826,2,10859.029012
28.24691,31,10928.529335
0.966263,2,10934.953072
22.451828,25,10997.146983
19.807108,22,11051.057042
6.588545,8,11076.47958
16.936709,19,11132.219816
28.637163,32,11220.296742
18.128754,21,11265.19925
0,1,11267.536355
20.593649,23,11322.387615
1.839045,3,11333.248577
0.998453,2,11336.897738
0.998173,2,11345.979597
21.954322,25,11410.756273
24.206362,27,11477.790812
3.832971,5,11492.882089
