#{"t_start": 1623467574.600659, "env_id": "mario_puzzle-v0"}
r,l,t
18.769928,21,65.306074
19.849223,22,124.195172
3.805016,5,138.965146
8.44968,10,165.004838
7.375588,9,188.718768
0,1,193.306825
6.388761,8,218.477624
0.999995,2,222.574311
17.072234,20,275.086354
23.682231,27,351.84506
48.671626,53,496.887674
2.899716,4,508.837099
25.014251,28,589.806304
3.805379,5,602.028075
6.330363,8,616.672539
12.33824,14,649.520183
10.29879,12,678.784255
24.025042,27,749.003972
0.986472,2,753.903683
15.987513,18,800.230327
0,1,804.087947
27.283973,30,878.460693
0.978601,2,883.965791
1.0,2,887.278152
1.448536,3,897.139046
2.798924,4,907.556192
5.663111,7,928.373489
1.948998,3,932.936382
37.389965,41,1040.420482
5.493318,7,1058.100647
0.844117,2,1065.958885
14.580711,17,1103.580813
38.347545,42,1215.52663
1.798092,3,1222.041003
11.36553,13,1256.742854
0,1,1260.550817
11.949874,15,1300.89744
12.241462,14,1339.64854
7.141624,9,1361.54511
0,1,1365.263711
30.846347,35,1463.463599
9.502273,11,1489.753156
8.470235,10,1516.162806
0,1,1518.742542
8.342339,10,1544.584452
1.943711,3,1555.391073
14.936569,17,1603.928481
42.678667,47,1730.034287
17.560189,20,1784.269037
28.886377,32,1874.065376
12.20604,14,1914.56333
0.997868,2,1921.645325
2.899828,4,1931.853856
6.61106,8,1952.99764
1.0,2,1961.943944
1.818156,3,1967.63123
2.846889,4,1980.163379
11.021091,13,2019.309423
4.77247,6,2036.360014
18.164871,22,2099.241353
1.886591,3,2105.689728
16.769357,19,2155.550894
10.293955,12,2188.317071
6.870146,9,2213.237845
3.809136,5,2224.755184
3.755043,5,2238.486841
1.0,2,2242.323233
1.95,3,2253.786767
4.799481,6,2268.347169
10.495812,12,2300.099306
7.498499,9,2325.650745
14.805663,17,2372.871367
2.885066,4,2382.59098
17.022982,19,2438.932122
5.493059,7,2457.631265
17.908441,20,2513.462697
8.396318,10,2544.925276
5.728785,7,2560.939184
10.443517,12,2590.701411
1.775364,3,2595.602237
2.764203,4,2605.801093
6.543762,8,2629.003928
10.362396,12,2667.889197
0,1,2671.098574
1.904896,3,2679.966187
0.994709,2,2685.491239
26.152927,29,2758.960397
7.49483,9,2788.021592
25.128971,28,2865.848975
12.378766,14,2906.322998
19.536393,22,2967.455664
25.804318,29,3039.792155
13.777131,16,3086.35774
3.727613,5,3101.971096
1.93218,3,3109.309738
9.125239,11,3143.482929
28.98648,32,3235.066584
0,1,3238.319021
7.611091,9,3263.512367
34.626899,38,3362.172358
11.85257,14,3398.542939
11.259802,13,3435.424719
11.310214,13,3468.996993
0,1,3472.927602
0,1,3475.492722
0,1,3479.705104
18.808047,21,3531.760087
9.538603,11,3564.889885
7.544612,9,3587.394041
18.224399,21,3647.129504
22.713372,25,3709.2529
5.749952,7,3728.195027
4.754121,6,3742.192824
0.969403,2,3748.69919
4.726196,6,3766.923844
3.31995,5,3779.913629
1.95,3,3788.657803
15.766772,18,3844.769325
0,1,3846.478893
32.262136,36,3935.820654
5.629021,7,3952.190966
35.161218,39,4052.601398
25.30609,28,4123.765385
4.324871,6,4144.200399
1.918355,3,4152.583278
11.219064,13,4183.522784
0,1,4185.656287
11.316181,13,4221.601595
23.31595,26,4289.23014
1.939081,3,4298.867134
14.863646,17,4346.798819
0,1,4348.795372
14.877372,18,4399.490739
15.795595,18,4447.61967
23.019424,26,4515.326906
0,1,4518.432502
18.735942,21,4570.328032
1.0,2,4579.783125
1.95,3,4589.619855
13.896117,16,4627.603599
11.408907,13,4659.30606
10.31479,12,4685.99273
0,1,4688.757855
6.105812,8,4708.730013
8.551375,10,4737.792963
12.330162,14,4774.133269
18.910206,22,4827.823423
1.937773,3,4837.893092
7.579723,9,4862.952434
19.605562,22,4921.078876
7.935702,10,4942.38811
8.424367,10,4965.137688
2.868134,4,4976.365823
0,1,4980.578
3.836866,5,4993.868623
2.88965,4,5005.124397
32.110456,36,5101.526568
20.313343,24,5158.449274
11.545941,14,5197.777658
0,1,5198.930626
0,1,5204.259025
1.920872,3,5211.599571
12.858531,15,5254.596394
1.95,3,5266.014995
2.840504,4,5279.647972
2.899992,4,5291.770433
28.597309,32,5363.913032
0,1,5366.648153
16.970712,19,5415.395384
2.836922,4,5426.452818
0,1,5427.594345
11.482162,14,5465.085749
7.709116,10,5490.188348
6.690022,8,5508.652358
1.949993,3,5516.651723
6.175701,8,5535.894529
34.618097,38,5624.733682
25.678374,29,5696.951273
1.0,2,5704.075871
0,1,5706.195188
7.517957,9,5734.204792
1.0,2,5738.284421
0,1,5739.912868
12.121887,14,5776.934069
6.493654,8,5796.606196
15.93189,18,5846.149382
1.0,2,5852.278985
60.784216,67,6014.905558
12.706661,15,6060.207621
3.844334,5,6072.531343
10.180152,12,6104.404322
7.532979,9,6132.14054
10.291769,12,6164.133864
18.039592,20,6214.208985
5.75,7,6231.182338
25.881927,29,6302.075541
18.574555,21,6355.469814
18.851056,21,6411.300073
0,1,6414.073677
53.938463,59,6564.407605
3.79014,5,6574.789705
1.0,2,6578.519864
5.747501,7,6597.474259
11.334734,13,6631.408117
1.0,2,6639.264957
1.892812,3,6648.439681
1.935689,3,6654.913584
14.227372,16,6691.667978
24.187929,27,6764.306647
37.57331,42,6883.375144
11.259003,13,6908.775128
27.542082,31,7005.739487
1.926238,3,7015.428782
0,1,7019.192871
16.944968,19,7055.87706
42.086789,47,7181.774418
1.926949,3,7190.841771
5.659714,7,7210.363148
36.335054,40,7299.926278
12.306766,14,7340.03415
11.998735,14,7377.474266
18.029232,20,7431.437146
62.51454,68,7596.973892
21.94278,25,7659.289259
5.326172,7,7680.470998
1.806066,3,7688.583455
1.0,2,7691.934995
1.912756,3,7701.246782
1.949959,3,7706.269363
18.50139,21,7755.569997
3.836297,5,7767.754759
14.851344,17,7809.123644
17.770065,20,7855.920967
3.844701,5,7866.539158
0,1,7870.317803
5.576667,7,7887.211273
9.370601,11,7917.627881
12.881419,15,7955.909213
6.672192,8,7975.408684
0,1,7976.561709
13.92896,16,8014.793581
2.875522,4,8026.73548
3.314966,5,8041.363342
25.328973,28,8105.396594
29.555946,33,8187.703798
8.759133,11,8212.032682
29.273652,33,8293.181791
0,1,8294.929279
0,1,8295.736499
3.823408,5,8307.103814
16.758869,19,8352.619608
3.640681,5,8368.55509
16.727919,19,8421.121578
13.94514,16,8460.306598
1.906898,3,8474.049229
4.741536,6,8499.618203
52.494124,58,8648.095891
26.118598,29,8730.308562
16.669611,19,8783.270941
4.606785,6,8802.483142
19.079647,22,8862.195909
0,1,8865.683097
41.651917,46,8978.868558
3.813383,5,8995.917753
0.962069,2,9001.880908
2.75208,4,9011.708599
1.95,3,9020.242416
14.626112,17,9062.4832
0,1,9065.4235
8.269158,10,9090.784157
0.999443,2,9096.03117
3.750429,5,9109.189353
2.886445,4,9119.187176
14.175895,16,9167.620371
2.864725,4,9180.741827
12.085782,14,9218.44727
31.819927,35,9304.385857
36.583345,41,9403.78942
91.682077,99,9673.168397
23.321335,26,9725.340443
0,1,9728.507825
10.458045,12,9757.230664
16.480284,19,9799.916655
9.168087,11,9830.389431
26.486807,30,9915.707851
39.205004,44,10027.188339
9.39652,11,10055.06969
9.289928,11,10084.345078
0,1,10086.136719
3.85,5,10099.91111
13.251026,15,10133.972296
15.858765,18,10172.997786
7.163725,9,10206.581066
0.98959,2,10211.856514
1.846598,3,10220.385231
4.443218,6,10235.403085
23.347913,26,10301.628718
37.386852,42,10394.524535
21.636814,24,10453.296895
0,1,10455.61918
32.189988,36,10537.291396
20.494403,23,10589.754612
4.79839,6,10603.161446
17.384295,20,10646.247131
17.598051,20,10694.944701
23.770684,27,10759.147459
1.95,3,10766.958069
4.500673,6,10784.563017
48.548145,53,10907.833833
40.280732,44,11016.228894
10.282241,12,11044.173197
2.9,4,11053.265407
1.948179,3,11062.239453
4.459482,6,11083.24711
4.798396,6,11100.387818
12.729246,15,11144.255135
38.667809,43,11253.303504
4.520456,6,11265.47019
33.244676,37,11362.666318
15.588761,18,11409.614103
37.655603,41,11511.888639
7.493796,9,11533.157902
14.929409,17,11580.528113
1.890131,3,11586.388498
6.670165,8,11605.753265
14.850225,17,11650.437272
16.59247,19,11703.071059
1.95,3,11711.293791
9.445457,11,11735.970412
18.530163,21,11789.512726
1.932426,3,11796.008208
12.120317,14,11824.954372
3.85,5,11836.381208
35.472489,40,11939.857145
8.236548,10,11964.025797
15.034851,17,12008.091321
5.482226,7,12028.051855
16.988349,19,12071.989036
2.89893,4,12080.311687
17.349448,21,12132.732296
8.50621,10,12156.62334
2.899137,4,12167.767629
0,1,12169.30123
31.005322,34,12260.240978
51.804858,57,12396.169409
16.826945,19,12444.213301
7.622389,9,12469.320169
35.252533,40,12576.357615
12.26246,14,12604.986634
49.102644,54,12734.569121
12.046371,14,12765.936924
91.281928,99,13016.633035
0,1,13018.671661
1.949799,3,13024.368193
6.301354,8,13047.602154
2.68206,4,13060.509239
1.4439,3,13067.138588
7.594622,9,13087.080049
3.484708,5,13101.169643
1.944522,3,13107.52235
17.029815,19,13161.446075
11.034972,13,13194.570282
8.469589,10,13216.643931
0,1,13218.267832
40.774204,45,13332.435785
27.351452,30,13405.14215
4.656244,6,13421.097406
14.12924,16,13461.306364
9.077319,11,13484.243533
65.143599,71,13658.147235
25.452943,28,13724.435453
5.658379,7,13739.454826
1.95,3,13746.87733
17.976329,20,13793.830858
34.095462,38,13877.624118
15.6657,18,13917.854354
2.81793,4,13929.398304
41.760983,46,14041.372782
22.461751,25,14104.629905
6.533835,8,14120.114509
3.814093,5,14133.41026
6.605252,8,14153.830763
6.454706,8,14174.995241
8.138187,10,14202.270507
9.067376,11,14231.7322
10.085987,12,14260.706696
26.182051,29,14326.932521
17.93817,20,14372.323836
7.382255,9,14395.465634
29.588323,33,14475.298547
20.085352,23,14532.882537
46.240932,51,14665.829921
9.540154,11,14693.710487
18.950951,21,14742.716063
10.37056,12,14770.852465
4.641895,6,14781.935758
1.95,3,14788.858915
11.251179,13,14821.745755
9.239693,11,14845.147243
13.22923,15,14880.987274
33.506329,37,14962.244318
20.710674,23,15017.542867
92.375234,99,15261.348068
8.229789,10,15284.816021
68.29346,75,15479.662587
12.047327,14,15516.414901
18.885948,21,15566.310909
4.756138,6,15575.505179
14.8453,17,15618.692987
1.95,3,15623.902785
8.436427,10,15651.842942
0,1,15655.298593
11.378243,13,15682.78604
1.949538,3,15689.148336
1.910939,3,15698.392046
35.248834,40,15799.185854
35.340741,39,15899.664502
7.535759,9,15926.40659
1.0,2,15930.261048
25.867797,29,16000.646291
9.01344,11,16026.965324
7.600765,9,16049.470983
21.285075,24,16110.043723
39.237919,44,16207.010584
35.802002,39,16290.051733
2.422282,4,16300.322983
40.695254,45,16402.458727
55.810483,61,16552.763633
35.265838,39,16640.882268
1.95,3,16651.886534
0,1,16652.660802
2.734694,4,16662.552659
2.886339,4,16672.51375
1.829602,3,16677.278337
6.562679,8,16696.297116
15.749836,18,16733.374838
