#{"t_start": 1623467574.937906, "env_id": "mario_puzzle-v0"}
r,l,t
13.06608,15,45.557608
6.659432,8,68.593781
0,1,70.156901
11.085722,13,106.770269
8.288248,10,136.666005
1.780197,3,145.447607
7.482637,9,167.514151
0,1,173.12604
24.573774,28,246.597414
8.093197,10,275.206039
19.867293,22,336.181993
11.304973,13,379.133357
15.842921,18,422.576038
2.883367,4,434.564312
12.2842,14,472.575234
3.751598,5,486.325681
4.964487,7,506.798092
0,1,509.018087
1.95,3,520.055484
0,1,523.686757
1.949942,3,530.128026
0.931394,2,539.917637
4.772612,6,551.072623
21.611912,24,613.388031
4.64682,6,625.097484
1.917401,3,631.605564
14.912969,17,674.080417
10.770461,13,711.104325
5.507451,7,726.765384
10.329999,12,754.817803
41.761913,46,869.768759
8.152346,10,899.38622
19.358465,22,958.664973
64.488271,70,1136.464497
0,1,1138.264507
9.421379,11,1167.113118
2.58616,4,1177.160327
14.732003,17,1221.965513
6.625906,8,1243.971713
17.465724,20,1299.391611
1.943116,3,1305.135373
8.509827,10,1332.695639
2.882385,4,1345.377383
9.321013,11,1376.825768
11.103172,13,1413.952711
0.991729,2,1418.453866
25.227824,28,1489.528586
4.748372,6,1506.370054
8.575347,10,1533.940966
11.319147,13,1571.758631
10.41397,12,1603.672292
1.946976,3,1610.289972
3.779332,5,1628.208434
13.156727,15,1669.505181
0.852321,2,1673.115249
46.815649,52,1806.868237
37.139085,42,1931.33123
2.874525,4,1942.909041
0,1,1945.048339
23.168055,27,2025.729168
6.685347,8,2046.935065
36.521455,40,2155.514401
17.093726,20,2211.609676
2.899913,4,2218.807113
22.636808,26,2285.003764
21.260614,24,2349.565863
0.983044,2,2354.356637
2.9,4,2370.341431
7.555918,9,2395.66212
1.0,2,2402.992435
20.401398,23,2466.724707
10.395104,12,2503.587379
22.802128,26,2571.746667
22.476439,25,2637.994738
17.128103,19,2693.476634
1.949539,3,2702.105124
1.95,3,2709.03585
20.521763,23,2772.466919
1.945612,3,2779.620031
6.386893,8,2803.355808
5.613454,7,2825.125337
23.764721,27,2897.010523
47.397251,52,3037.847374
5.687151,7,3056.77246
5.686057,7,3076.11768
9.455278,11,3109.111967
20.65912,24,3184.915285
9.444111,11,3212.222074
17.792987,20,3267.612036
35.695576,40,3372.089296
7.580001,9,3395.42951
20.819309,23,3457.66342
3.715805,5,3472.363099
1.0,2,3476.888722
4.671507,6,3494.135637
11.787913,14,3529.372921
2.833026,4,3540.014741
1.0,2,3546.43352
11.267097,13,3582.294127
2.86729,4,3593.055042
11.269114,13,3629.383011
9.084406,11,3660.234933
16.323821,19,3706.963163
45.034474,49,3846.335171
23.254607,26,3911.411442
78.899173,85,4127.656176
8.526222,10,4155.595883
35.586223,39,4256.078358
2.895415,4,4267.267195
0.99943,2,4272.632168
0,1,4274.673448
2.897548,4,4287.458812
0,1,4291.449009
18.633429,21,4348.313528
8.380893,10,4376.248636
21.874164,25,4445.128756
28.8939,32,4528.827818
6.520424,8,4548.158047
16.961697,20,4601.093435
2.884487,4,4610.653746
0,1,4614.879341
1.942982,3,4624.617641
21.399077,24,4678.588948
14.824003,17,4720.806628
3.637412,5,4734.65636
14.025313,16,4779.346276
7.587727,9,4802.950785
1.877675,3,4808.48795
15.754023,18,4856.385808
1.95,3,4866.612425
1.0,2,4874.497546
13.735001,16,4912.503294
18.756262,21,4959.967663
1.943369,3,4965.895244
0.994472,2,4973.191671
19.520066,22,5034.526958
40.438628,45,5144.641048
4.700311,6,5164.411134
25.597608,29,5246.483545
5.616064,7,5269.710072
33.209662,37,5358.885785
4.74303,6,5373.101774
12.041679,14,5407.996418
21.603435,24,5470.993279
0.9769,2,5477.953274
4.353137,6,5492.517713
12.834531,15,5529.160166
5.736891,7,5545.830836
10.30025,12,5577.642698
48.723202,53,5703.95332
0,1,5706.486185
9.465751,11,5737.965072
5.504374,7,5752.854678
3.836509,5,5768.155039
