timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
4096,9.545132599999999,9.545132626906957,0.0,0.0,9.954121611777996,0.0
8192,6.0246954,6.024695373803924,0.0,0.0,12.566264106588406,0.0
12288,4.0674171,4.067417040979629,0.0,0.0,12.147788834350104,0.0
16384,2.6152051,2.615205052375758,0.0,0.0,7.810546235852951,0.0
20480,3.8547074,3.8547072168619714,0.0,0.0,12.87995859885774,0.0
24576,2.2913585000000003,2.291358473657613,0.0,0.0,7.950135837696162,0.0
28672,2.576586,2.5765859720112543,0.0,0.0,9.993652558354565,0.0
32768,3.1716538,3.1716538664221146,0.0,0.0,12.03908209381223,0.0
36864,1.9919135000000001,1.9919132968682287,0.0,0.0,7.8791420309155935,0.0
40960,3.0934896,3.093489536252728,0.0,0.0,12.155128966822321,0.0
45056,2.9950032,2.9950030724096055,0.0,0.0,10.65799688347495,0.0
49152,3.0983238999999996,3.0983239730837417,0.0,0.0,11.65034843100698,0.0
53248,3.5182424000000005,3.5182424501104266,0.0,0.0,13.902241428049862,0.0
57344,2.7612272,2.7612272433130114,0.0,0.0,11.184596676475994,0.0
61440,3.3009484000000007,3.300948410021011,0.0,0.0,13.623739655527123,0.0
65536,3.4124212999999997,3.4124210872447756,0.0,0.0,14.035760618879838,0.0
69632,4.1932664,4.1932664415534795,0.0,0.0,17.374527163420684,0.0
73728,3.1984183,3.1984182649829553,0.0,0.0,13.454500786958373,0.0
77824,2.9986179,2.998617832080824,0.0,0.0,13.613802754290532,0.0
81920,3.3492071,3.349207136309091,0.0,0.0,14.650951155648098,0.0
86016,2.8995946000000004,2.8995944506267852,0.0,0.0,11.568359326256873,0.0
90112,2.737965,2.7379650849226405,0.0,0.0,11.457484743126473,0.0
94208,3.3858216,3.385821544407892,0.0,0.0,14.92581901267548,0.0
98304,4.0414235,4.041423579908711,0.0,0.0,16.605144554116897,0.0
102400,3.3228567,3.322856662015316,0.0,0.0,13.031387890927125,0.0
106496,3.9372547000000004,3.937254814113131,0.0,0.0,15.546281407035867,0.0
110592,3.9607290999999996,3.960729185875377,0.0,0.0,15.184968536599493,0.0
114688,4.1877621,4.1877620765345736,0.0,0.0,15.585041177975341,0.0
118784,4.3790254,4.379025417744566,0.0,0.0,16.333237004310938,0.0
122880,3.7805739000000003,3.7805738540245186,0.0,0.0,14.289600236953046,0.0
126976,4.8259776,4.825977393642989,0.0,0.0,18.158257705025562,0.0
131072,4.2034684,4.203468417471636,0.0,0.0,16.194195929448078,0.0
135168,5.4928249000000005,5.492825021287844,0.0,0.0,20.65109873565525,0.0
139264,4.6237624,4.623762540274031,0.0,0.0,18.003753210276265,0.0
143360,4.7335256999999995,4.733525608615972,0.0,0.0,19.166381076901004,0.0
147456,4.7994939,4.799493920678444,0.0,0.0,20.473992690725225,0.0
151552,3.6278912999999995,3.6278914303219216,0.0,0.0,15.68252002839462,0.0
155648,4.423648200000001,4.423648231950176,0.0,0.0,20.219659609950224,0.0
159744,4.1751532,4.175153166218889,0.0,0.0,18.800684960664892,0.0
163840,4.276676,4.276675893207721,0.0,0.0,19.600961376351457,0.0
timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
2048,8.4846603,8.484660254898412,0.0,0.0,6.15455386451131,0.0
4096,3.8741,3.874099997027595,0.0,0.0,6.38123915971992,0.0
timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
4096,8.813215699999999,8.81321579011098,0.0,0.0,6.7855143399483255,0.0
timesteps,reward,rewD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
2048,89.77150420000001,89.77150411347633,0.0,0.0,-6.0976899935972355,0.0
4096,95.0359548,95.03595487786797,0.0,0.0,-6.3925339175188665,0.0
6144,94.5576703,94.55767035532232,0.0,0.0,-7.265801726779448,0.0
8192,95.787948,95.78794808352723,0.0,0.0,-7.094191493882965,0.0
10240,96.78886990000001,96.7888698662733,0.0,0.0,-5.227783733181349,0.0
12288,96.93621580000001,96.9362157308357,0.0,0.0,-4.907042783756031,0.0
14336,96.1224046,96.1224046361933,0.0,0.0,-7.075485403146712,0.0
16384,96.6917662,96.69176615992063,0.0,0.0,-6.312804329353172,0.0
18432,96.83022349999999,96.83022338514937,0.0,0.0,-5.800354410763045,0.0
20480,97.0758263,97.07582639398258,0.0,0.0,-5.2816858385992145,0.0
22528,96.5711493,96.57114928642771,0.0,0.0,-6.365818765947263,0.0
24576,96.3137333,96.31373345138998,0.0,0.0,-7.592793476473426,0.0
26624,96.8006941,96.8006940943972,0.0,0.0,-6.54429073387452,0.0
28672,96.9245637,96.92456376406682,0.0,0.0,-6.642086156743074,0.0
30720,96.9218228,96.92182282183902,0.0,0.0,-6.687173068253218,0.0
32768,96.1527837,96.15278359847227,0.0,0.0,-8.022743846750222,0.0
34816,96.7925208,96.79252093754118,0.0,0.0,-6.038885453291156,0.0
36864,96.92178670000001,96.92178667897329,0.0,0.0,-5.950147045442818,0.0
38912,96.90155419999999,96.90155421131838,0.0,0.0,-5.757108730724372,0.0
40960,96.9089921,96.90899226692753,0.0,0.0,-5.440982320790046,0.0
43008,96.83230400000001,96.83230399887674,0.0,0.0,-5.38775317338788,0.0
45056,96.23676460000001,96.23676439729385,0.0,0.0,-6.800993960291565,0.0
47104,95.67809710000002,95.67809705973518,0.0,0.0,-8.110426655700127,0.0
49152,96.72209690000001,96.72209686276972,0.0,0.0,-5.884543812031526,0.0
51200,97.01000379999998,97.01000375664468,0.0,0.0,-4.901925278857362,0.0
