timesteps,reward,rewMD_sum,rewN_sum,rewP_sum,MD_sum,N_sum
1024,30.1311837,13.206494421252918,3.4123095516228297,13.512379735000001,-0.8506816991116235,16.58227743602769
2048,30.328973400000002,12.930482939755183,4.286787981927653,13.111702493600001,-1.0761774163489448,18.945299110756867
3072,26.619756099999996,11.88630815235875,3.1173076801556925,11.616140344,-0.4273355771109587,14.791456910734567
4096,21.139498100000004,9.240351576036398,2.8141571535629923,9.084989387300002,-0.48674460565915023,12.30102219066553
5120,22.4696883,9.690833581321295,2.9617332537461394,9.817121714999999,-0.9566832726815779,13.18326524105829
6144,33.793639,14.644444847791203,4.394721788193836,14.754472356999997,-1.0882013390104484,19.100047611033705
7168,36.9273315,16.336402654330534,4.2201808866467445,16.3707479756,-0.7132852054720479,19.99791601263245
8192,19.171346300000003,8.523518381541868,2.342486234001909,8.305341823000001,-0.4260140319127104,11.283873907005319
9216,28.826505400000002,12.959791729083566,3.189414433179009,12.6772992267,-0.6678789960455347,15.369448775195313
10240,42.791392599999995,19.09361191214797,4.502564730251363,19.195215926,-0.895830263638833,22.85885014454822
11264,34.8781989,15.291964684352317,4.423972977743434,15.162261238700001,-1.131516905997446,21.232082986134667
12288,36.810688400000004,16.160245749816468,4.490220238942956,16.160222459399996,-0.8699766009564411,20.10450475911568
13312,37.2632878,16.186660029058928,4.619424985311726,16.4572029051,-1.7821073306751658,21.3679263187319
14336,23.8221351,10.584188334862805,2.770541236448141,10.4674055107,-0.3124508502575737,12.340693650898466
15360,48.177299999999995,21.27542814137729,5.383450661641971,21.518421195,-1.8148802242796607,25.963328434592096
16384,33.619329400000005,14.849042058520846,3.663345924007303,15.106941495000001,-1.500073470627272,18.632874206370808
17408,43.059129,19.462254058747913,4.241203805321416,19.3556710406,-0.8452783774343391,21.932057491215094
18432,13.1581929,5.700538872626449,1.9403571305082956,5.517296825,-0.26027153591788293,8.560062941065606
19456,31.567669699999993,13.846137892420424,3.5803931236114375,14.141138620000001,-1.3505835364138132,18.903033273322706
20480,53.098875299999996,23.653694462559667,5.28839145197774,24.156789295,-1.9359819051398404,28.743233165000127
21504,21.0353023,8.876344309107614,3.0287542772297043,9.130203867,-1.4610273903939723,14.2656588032545
22528,35.9724497,16.02041826771887,3.945371275734407,16.006660110000002,-0.8735168638802078,20.297363080865257
