#{"t_start": 1624274309.8500752, "env_id": "mario_puzzle-v0"}
r,l,t
28.148987,43,126.401615
2.228524,5,139.331412
0,1,141.917838
17.115491,27,214.549023
4.621562,13,243.334225
11.87355,16,281.591762
12.724831,20,336.75555
20.145194,34,427.730696
1.272078,4,435.828298
6.822177,15,474.158877
2.343409,4,489.746169
9.213681,15,525.244041
4.068345,8,546.067437
4.917852,10,577.449144
18.329798,26,640.572721
5.422,8,665.320825
13.281861,22,724.955827
1.361283,5,740.967908
31.804911,43,843.912118
4.196158,11,874.31508
2.513664,5,886.188542
0.217144,2,891.122512
4.787229,8,909.581493
7.369707,14,950.810397
1.777993,5,965.944867
11.059068,16,1007.109718
6.402172,10,1028.827871
0.202627,2,1033.246066
3.84474,6,1052.812797
34.786309,49,1176.064466
23.624856,39,1273.965637
0.942039,3,1283.991992
1.0,2,1291.338899
3.02796,7,1310.585639
3.695643,5,1320.885031
18.823518,28,1404.599592
9.535607,15,1443.328525
8.293638,11,1470.817267
0,1,1474.109662
7.128202,11,1507.127374
8.991596,14,1544.391556
20.997717,27,1615.809298
12.146576,19,1664.540235
16.356172,21,1727.139761
4.467287,7,1750.720587
3.358111,6,1764.992726
11.633453,24,1822.947681
4.137487,6,1843.042077
2.584581,6,1865.761477
3.888337,5,1879.642638
7.793838,11,1911.861562
0,1,1914.67064
9.571453,13,1943.377416
1.422857,3,1952.082712
11.066138,17,1993.2836
3.195596,6,2008.794742
15.860382,22,2071.621345
5.187889,9,2100.621164
0,1,2101.929684
11.631553,24,2166.50473
0.292731,7,2185.317689
24.776404,35,2280.457704
4.677802,9,2300.057681
27.752064,47,2419.02916
2.262176,4,2430.139185
3.926536,6,2444.684897
6.966171,10,2468.529763
2.319736,5,2482.175571
0,1,2484.430015
20.263914,26,2548.920833
0,1,2553.904487
5.456682,11,2582.371461
9.805115,12,2612.585943
21.308122,37,2714.505452
23.15603,35,2801.853757
36.857593,49,2926.604764
9.878142,16,2969.574846
10.976362,16,3011.424891
9.914303,13,3045.991676
1.0,2,3051.225392
32.895979,46,3170.684962
20.813349,29,3244.687818
-0.062769,2,3247.783514
5.780012,7,3264.794338
0,1,3268.797644
3.073597,6,3285.094068
19.241494,33,3369.737117
17.53519,24,3428.916632
4.295465,7,3446.625573
1.0,2,3451.033066
0,1,3456.194042
6.182294,10,3478.700427
12.46966,20,3531.395314
1.0,2,3539.605296
13.781647,18,3580.51579
4.785123,10,3605.893856
5.272753,9,3628.27891
5.59366,8,3649.812855
4.704966,13,3683.04894
1.0,2,3689.849841
9.797881,12,3722.528542
14.789977,30,3792.374019
2.299427,6,3808.52742
0.317838,2,3814.275878
2.875858,5,3825.095867
30.691942,48,3945.033567
18.471366,27,4018.433707
3.997639,6,4032.44265
4.623176,10,4056.711236
28.176896,41,4151.172726
12.064518,17,4194.854118
11.883751,19,4246.824426
2.729331,6,4258.704817
1.0,2,4264.730842
4.466268,8,4285.195863
2.426918,5,4296.710764
25.626236,37,4389.307693
13.067536,19,4445.983052
1.23433,3,4452.749352
33.658692,49,4569.023727
2.002127,5,4582.132193
2.78641,7,4609.551637
13.568084,20,4658.143735
24.633377,36,4742.991279
10.34419,14,4775.08182
7.690106,14,4803.779116
7.95201,11,4833.686835
8.846102,17,4878.367847
0,1,4880.128817
9.082946,15,4919.499432
0,1,4920.74317
0,1,4923.012247
13.256344,25,4981.856278
6.460513,15,5016.995441
4.078603,7,5034.860724
4.533062,11,5062.794915
1.385722,5,5076.847517
6.720316,9,5101.346589
4.879638,9,5127.950716
5.702059,11,5152.850046
4.644083,9,5171.530236
16.92112,25,5229.197867
2.70352,5,5239.720276
0.951984,3,5249.197065
7.709144,16,5284.465674
8.533357,13,5314.020607
1.682829,6,5325.528431
10.695703,21,5376.616973
13.680366,18,5428.967776
0.673634,3,5434.677479
3.956004,8,5456.158733
1.066642,4,5467.029997
0,1,5468.803985
8.092221,12,5493.389497
18.19967,25,5564.778397
1.157197,3,5572.994367
6.914956,9,5595.218558
12.699454,18,5643.336895
30.956754,49,5772.477869
11.822836,20,5826.567952
12.460594,15,5861.254791
0,1,5864.590439
5.817044,10,5888.997835
17.463135,27,5950.26461
21.650258,27,6018.443209
2.831411,4,6027.775638
30.312263,42,6126.638457
0,1,6129.603422
13.330122,23,6184.738023
20.891604,30,6267.090659
26.91173,45,6382.807089
27.320346,38,6483.123198
15.852938,25,6544.398371
20.308219,27,6621.054874
4.403617,10,6644.514918
5.766631,8,6668.709174
1.007683,4,6677.297456
5.005289,10,6705.89661
9.113847,15,6745.301535
2.163808,7,6765.915059
4.494558,6,6779.664182
6.030358,9,6800.944581
0,1,6805.616567
21.478828,36,6892.990643
5.76111,14,6926.163921
0,1,6930.159312
4.722913,9,6954.169951
2.956164,6,6973.798855
10.777543,17,7023.882141
20.230463,28,7102.820688
1.478096,3,7111.15987
6.379982,10,7132.781865
15.078477,26,7202.449841
0.898552,2,7207.636497
3.678787,6,7223.788353
30.612057,49,7352.843621
18.988509,22,7396.964998
9.455416,20,7447.233678
1.0,2,7450.48853
4.456242,8,7469.848287
0.622374,2,7475.602681
5.738111,8,7495.914556
0,1,7498.262007
0,1,7502.346564
18.81079,23,7560.236631
14.836416,22,7616.471142
8.863351,16,7658.902754
29.328052,42,7778.221028
35.006777,49,7901.242441
3.953006,10,7923.004639
22.066817,32,8004.953739
3.410588,6,8018.201293
7.989069,20,8066.987191
25.225969,43,8166.985502
17.888781,25,8235.027889
0,1,8237.71911
32.586304,49,8361.157985
13.715523,23,8415.435031
16.93377,21,8473.255182
10.624241,19,8525.279288
36.247933,49,8648.115681
16.492492,22,8702.84893
17.431618,25,8775.917904
4.40474,7,8796.367553
3.313583,5,8810.262813
11.503756,16,8851.711699
11.582802,20,8905.158037
14.732023,21,8949.371491
2.571971,5,8960.69449
4.604208,11,8990.329456
28.626779,42,9096.136497
32.72119,49,9222.994657
20.523246,34,9301.541934
11.298047,20,9353.899719
1.0,2,9359.13134
1.0,2,9363.47372
28.041349,37,9455.427664
7.653072,15,9487.038683
33.912486,49,9606.570632
3.564781,7,9622.556316
31.684045,49,9747.464039
33.894759,49,9866.602664
25.623976,39,9967.525909
0,1,9971.630588
18.210714,30,10037.527965
3.858059,9,10062.431333
20.538631,29,10124.973699
28.889338,49,10237.658248
1.0,2,10244.049928
13.114664,18,10294.746944
17.544554,27,10359.360923
23.047749,38,10448.678245
12.089378,17,10486.517432
17.708387,35,10573.083659
11.991294,16,10608.880922
30.176462,49,10715.422655
31.230629,49,10821.922892
20.707564,34,10900.435484
5.774304,10,10917.788443
8.902313,12,10947.122403
8.131349,12,10977.99714
21.158634,29,11050.344924
1.811611,11,11077.044617
9.196424,16,11116.16703
13.573507,24,11182.326364
10.181176,16,11225.797478
1.85857,4,11234.324201
7.459245,16,11274.080166
11.329984,15,11305.616619
20.518208,25,11365.93011
0,1,11370.499221
32.526921,49,11488.692791
7.844439,14,11522.039498
35.675903,49,11636.987807
15.669449,26,11704.477047
31.941021,49,11826.650577
4.233376,8,11844.099614
27.611569,40,11945.373745
23.502187,32,12020.36743
9.546494,18,12059.006345
1.0,2,12062.152409
6.067205,9,12083.456397
15.482017,20,12126.568186
30.434797,49,12258.530558
4.0,5,12268.502817
10.882741,17,12318.756919
8.742431,12,12346.907151
0,1,12348.913871
0,1,12350.632711
9.210856,14,12388.082136
16.020095,23,12439.500263
29.546662,49,12543.198625
0.504806,2,12547.262638
3.0,4,12554.587735
5.809596,10,12577.738161
8.527421,15,12611.92723
0,1,12612.714614
20.258192,28,12688.244612
14.259652,22,12742.671981
1.802799,3,12750.410688
34.423294,49,12868.499787
13.56843,18,12906.225417
24.685132,37,13000.106596
22.168846,33,13073.96379
9.146597,14,13104.351541
14.969169,28,13172.299494
12.003676,15,13203.666824
21.175873,35,13285.494014
4.219435,6,13298.741533
13.579834,22,13348.284804
1.30508,3,13355.762214
20.047083,28,13414.005719
34.305269,49,13519.306924
0,1,13522.229817
0.369959,2,13528.192056
31.90299,46,13637.828804
31.250296,46,13733.257844
12.161511,18,13785.013818
9.352461,11,13814.256975
2.705182,4,13822.423177
39.653625,49,13943.603621
6.874971,8,13959.957644
5.168528,9,13976.639421
2.7617,7,13992.246816
18.40639,26,14055.375349
18.143913,25,14107.618689
7.286991,10,14127.33207
0,1,14128.929912
27.385031,41,14227.101708
21.36986,29,14295.570228
1.0,2,14303.297827
12.536635,19,14341.965395
0,1,14345.625318
21.185714,36,14427.906832
6.014884,9,14451.650808
21.130786,32,14515.759664
21.190461,32,14590.155152
26.812807,33,14662.809467
19.14599,26,14727.02527
14.528968,20,14775.266493
24.753524,35,14854.83549
9.428522,18,14897.066667
26.287248,34,14990.285391
31.028474,48,15108.593783
10.812482,17,15147.568439
5.102108,8,15168.833999
37.207391,49,15285.543951
27.607518,49,15397.513874
1.0,2,15403.126546
30.940658,49,15519.041728
3.183127,5,15531.47539
6.982343,11,15554.799222
2.0,3,15563.907536
2.0,3,15575.375657
19.894716,26,15633.219918
28.524592,40,15718.511621
13.3121,22,15771.794516
39.013017,49,15879.479908
10.936671,15,15924.264719
29.392399,41,16031.0142
9.032641,17,16068.324473
9.230138,12,16093.987241
32.685295,49,16205.485694
4.695027,8,16220.732532
36.676066,49,16330.908636
31.678969,49,16452.73876
35.629914,49,16556.699823
10.243172,13,16585.763165
-0.053758,2,16595.580345
0,1,16599.153018
32.195622,49,16718.460703
20.64139,32,16794.093673
8.48086,12,16822.336236
22.954852,29,16888.058264
7.183203,10,16911.873525
3.587882,7,16928.551796
21.521265,28,16998.186676
0,1,16999.895854
31.979413,47,17101.214142
4.82513,9,17121.121916
31.738275,47,17218.439905
20.94627,34,17305.79576
19.389778,38,17397.020966
13.951886,19,17447.714459
26.053187,48,17553.86767
10.088241,18,17593.802795
33.43052,49,17707.109401
32.128344,49,17804.392591
28.174897,44,17892.56108
5.732565,11,17915.278273
1.0,2,17921.000726
20.29785,29,18000.714098
6.444475,11,18022.446061
24.449024,38,18111.349918
36.260438,49,18229.036581
4.168204,9,18253.801905
14.628026,20,18302.545959
20.712191,30,18373.447778
35.516405,49,18494.032408
14.67879,18,18530.75959
23.446915,33,18599.701757
36.498533,49,18718.885653
0,1,18720.810887
33.872149,49,18823.881688
8.065016,12,18848.894268
5.493953,11,18870.806923
13.759758,22,18916.361609
32.42833,43,19015.395111
33.130685,43,19120.167524
32.463684,49,19238.0744
37.977441,49,19346.10809
0,1,19347.719383
14.434468,22,19396.675143
24.451588,40,19480.734677
2.0,3,19487.903406
32.944794,49,19605.701703
0.834774,3,19610.543778
34.505259,49,19705.601974
2.773105,4,19715.266152
28.460615,44,19820.084621
22.266843,32,19893.054541
4.50973,10,19911.368503
16.290172,25,19963.620597
34.887136,49,20070.319753
0,1,20072.22396
0.067962,2,20079.192749
0.322694,2,20085.472586
12.550681,18,20124.841381
35.570846,49,20232.047676
0.812439,2,20236.131268
31.108458,49,20345.082741
36.989621,49,20448.117553
11.928835,26,20511.594105
26.950561,38,20596.974934
26.586197,43,20690.385493
12.807274,18,20732.371984
30.291164,35,20819.830796
8.838533,11,20843.100463
11.056375,14,20869.659409
34.343133,49,20978.271196
7.771645,15,21010.491512
0.9876,4,21017.152933
35.910809,49,21134.947659
1.0,2,21140.335613
33.589674,49,21250.551631
35.707966,49,21354.137639
33.515067,49,21465.938804
36.204161,49,21582.393545
5.990352,9,21602.049704
10.485876,19,21644.842833
22.880074,36,21729.111705
38.618499,49,21838.91584
7.923957,10,21861.19011
1.604426,5,21869.599394
9.767061,11,21891.397302
34.615857,49,21993.029827
34.91263,49,22094.866201
1.325656,3,22100.564088
11.217526,20,22143.93588
0,1,22145.560154
16.680876,24,22192.292629
25.251726,36,22282.463949
38.051834,48,22385.76782
32.682838,49,22491.07857
13.577398,22,22534.818564
7.498808,12,22569.801332
9.451411,14,22611.855546
37.47263,49,22722.0289
22.268141,34,22802.998142
0,1,22805.183797
0.558315,3,22814.144032
22.529468,30,22881.081213
7.188694,10,22902.613955
9.938819,16,22944.204513
36.429046,49,23039.956434
10.362649,14,23068.781811
3.90404,6,23077.553743
9.591622,18,23121.028563
33.6402,49,23221.126699
34.178031,49,23328.019665
38.721424,49,23432.874585
3.174946,5,23443.78946
3.521471,5,23454.520585
15.283192,23,23508.072582
34.192683,49,23615.265984
39.187628,49,23722.571665
22.211371,34,23797.902395
24.061887,31,23866.60056
17.968158,27,23920.353488
38.746102,49,24019.588763
9.911571,15,24061.169781
4.365299,8,24078.213285
12.14364,23,24135.398843
0.649658,2,24141.863905
21.446612,29,24199.055583
14.088198,21,24243.608369
31.585419,49,24337.811755
32.508395,49,24435.040387
35.490135,49,24551.255673
9.061541,11,24581.489792
18.397872,32,24645.578462
40.157808,49,24760.88463
6.776847,9,24779.443289
31.77919,49,24887.90514
1.656862,3,24897.736665
26.806454,36,24993.785217
34.094587,49,25102.983845
1.873926,4,25112.670704
6.737868,10,25130.689482
19.646935,27,25192.352764
18.194425,29,25263.265354
19.024979,32,25341.426079
2.64012,8,25357.341196
2.643361,4,25367.669916
33.843594,49,25476.657223
2.0,3,25487.375334
5.503949,9,25508.817653
41.32199,49,25616.423937
34.431907,49,25713.378749
1.0,2,25719.940275
35.080952,48,25834.576304
36.220056,49,25937.841573
32.759052,49,26049.186951
1.076832,3,26058.658867
1.0,2,26062.994439
34.477718,49,26183.154693
10.464208,13,26209.276637
2.05439,8,26228.20703
0.60763,2,26233.078063
6.526923,11,26257.418485
0,1,26259.307923
8.339678,13,26289.924232
2.0,3,26297.56696
12.36847,21,26339.391688
21.624651,28,26404.457735
37.388425,49,26507.021713
14.763606,18,26551.426511
0,1,26555.650842
31.53528,42,26638.367847
13.714997,17,26671.45906
5.806933,8,26689.779983
37.113538,49,26792.707711
31.019677,49,26901.046517
1.604877,3,26908.685052
10.155988,14,26935.844847
38.558044,49,27047.039606
1.0,2,27050.40735
2.196793,6,27066.486331
27.43028,45,27156.535859
16.437332,24,27217.662378
0.35625,3,27221.831947
1.959316,6,27235.232695
13.364055,21,27286.763765
6.620312,10,27309.440522
30.925493,43,27394.497057
23.425706,39,27468.467798
7.817636,11,27492.763487
24.296678,35,27563.425791
20.897303,37,27649.175852
21.688615,31,27715.611193
22.704086,31,27787.260948
33.197706,49,27890.312707
32.727895,49,27996.524049
34.373624,49,28093.446697
32.469265,49,28212.483304
36.027444,49,28303.433508
5.807057,10,28324.195273
0,1,28326.482202
7.722534,10,28348.979748
15.937464,30,28415.191106
32.91079,49,28515.361061
17.731967,33,28582.872454
2.116709,4,28590.215488
26.238348,40,28673.496871
26.751658,37,28748.642802
3.296937,7,28764.513195
39.550478,49,28861.084661
21.981281,36,28943.068944
6.060047,19,28981.465716
33.078407,41,29065.064643
7.945048,11,29086.787746
9.462775,13,29110.072916
19.402343,29,29166.100528
36.779492,49,29255.519849
0.942817,2,29258.090625
26.0778,32,29320.097998
38.77337,49,29422.808511
2.460338,4,29430.002776
0.460386,2,29435.239536
19.521821,36,29514.533108
39.971414,49,29611.469404
30.283517,40,29700.691277
34.479615,49,29803.780811
15.105253,25,29859.617249
35.109949,49,29961.837736
3.799615,8,29979.675432
3.729996,5,29991.047104
18.971814,28,30049.80358
33.232678,49,30148.886776
22.598798,27,30209.02659
37.578933,49,30301.690536
34.38895,49,30405.85982
4.0,5,30420.393729
37.426634,49,30516.990453
34.414445,49,30626.011669
15.661685,24,30677.281725
2.393069,5,30686.854494
10.751667,15,30710.645752
41.828809,49,30820.863603
22.897966,35,30893.135496
35.196788,49,30990.507754
37.947456,49,31087.681661
0.178359,3,31094.356302
34.302571,48,31194.712957
0,1,31196.167804
38.125793,46,31287.576267
8.395798,10,31306.445827
23.666567,28,31361.941571
21.795447,31,31419.872645
11.40196,16,31459.896874
36.145514,49,31552.407588
26.909232,33,31622.148605
35.281586,49,31730.352966
5.706096,13,31757.504082
34.26732,49,31856.921422
38.588078,49,31966.887701
6.0693,13,31994.185161
9.075978,12,32022.703516
29.770442,40,32112.604636
39.408809,49,32222.47844
10.086669,13,32256.091977
37.013708,49,32360.972928
34.012752,49,32464.276614
39.045303,49,32562.713909
30.899252,48,32662.602669
31.152656,43,32747.931968
23.671513,33,32822.963521
11.740474,17,32856.83124
36.0851,46,32957.025055
39.568914,49,33049.327636
22.355052,32,33119.50782
13.12006,17,33156.942653
9.005792,16,33201.366003
35.099032,49,33302.467672
25.471086,37,33385.368591
7.402237,13,33413.149755
0,1,33414.55887
39.72722,49,33515.030681
7.196585,16,33547.063173
0,1,33548.81062
17.542395,21,33583.040533
31.340147,49,33693.099334
39.879427,49,33792.396919
42.621033,49,33892.64568
39.426912,49,34004.325506
37.25017,49,34104.355744
31.781726,49,34195.887749
37.291455,49,34295.600437
15.274081,23,34344.449384
0,1,34345.868806
40.967786,49,34441.548561
14.938506,27,34497.025498
36.741704,49,34600.927857
15.44367,22,34643.65359
35.112905,49,34738.651884
2.128176,4,34745.641514
35.763493,49,34850.966621
39.218686,49,34955.29466
32.371133,49,35052.114442
8.642442,13,35078.411211
8.354004,11,35105.023226
36.089927,49,35199.521707
32.349351,49,35302.222914
1.591792,3,35308.623697
40.964388,49,35418.095469
37.401411,49,35519.852322
40.969278,49,35605.375609
37.158067,49,35702.659669
8.868486,14,35727.291527
39.916834,49,35827.765948
15.899894,20,35865.671879
15.616259,23,35911.093115
37.742385,49,36012.500698
27.650229,39,36091.817618
6.959193,11,36118.608008
27.224287,32,36195.860972
30.993503,49,36303.647831
0,1,36309.376862
21.066957,26,36362.434584
37.846823,49,36460.513813
37.441679,49,36562.113533
8.30252,13,36588.578609
4.176052,6,36604.736939
36.249925,49,36708.963863
28.665126,43,36796.357086
19.601454,33,36865.259541
39.136493,49,36963.372713
21.942502,35,37036.981487
33.369134,49,37144.64774
6.501061,9,37163.500151
34.028547,49,37259.313563
0.933011,3,37264.964504
36.683277,49,37363.302641
33.821424,49,37461.471458
7.478788,16,37494.649727
34.065726,47,37594.214659
1.001199,4,37599.510068
38.968775,49,37698.633702
1.648744,3,37702.899111
1.938625,4,37710.753546
32.151573,41,37792.294112
29.28441,41,37864.799404
36.990157,49,37961.694969
33.510285,49,38064.465991
6.062596,12,38089.089921
39.678083,49,38184.086716
41.925312,49,38288.935752
15.499215,25,38337.85232
3.069448,8,38357.58727
1.580597,6,38375.813955
38.22901,49,38475.15462
37.362713,49,38565.196909
1.270113,3,38576.771026
17.027647,20,38613.534827
37.52264,49,38710.373575
1.0,2,38715.957448
10.582869,18,38757.031123
0.332075,3,38763.139445
15.296029,21,38804.91203
35.506615,49,38905.313684
30.017288,39,38986.675229
37.494483,49,39093.091657
12.805326,15,39121.565515
34.619383,49,39233.462709
1.448043,4,39239.925091
9.498302,11,39262.160913
3.914216,6,39278.071512
3.882663,5,39292.458324
35.484887,47,39399.997512
13.819502,23,39445.740802
1.0,2,39453.821017
41.633764,49,39554.291569
0,1,39555.435827
37.802612,49,39659.422527
32.699531,49,39755.203255
34.937081,49,39854.769598
34.835582,49,39955.892878
15.997264,20,39997.571655
39.185415,49,40094.149397
38.270697,49,40193.578766
34.799782,49,40294.329841
34.789383,49,40400.810555
41.847868,49,40499.42167
38.508595,49,40605.293644
33.675536,42,40692.178367
38.533362,49,40794.243621
39.091293,49,40890.100933
40.716402,49,40987.492109
10.755472,15,41019.753928
41.76263,49,41119.818056
38.434903,49,41214.535568
0,1,41216.749902
0.677165,4,41228.113121
7.335601,11,41250.634279
33.653301,49,41353.168436
38.385826,49,41453.521653
0,1,41457.223191
38.759804,49,41543.949706
23.196723,29,41614.040847
36.616821,49,41709.447619
38.913343,49,41820.128407
3.95364,7,41833.164057
21.894321,32,41902.421774
8.655628,12,41930.216572
35.477932,49,42030.427681
39.193113,49,42126.147198
19.791858,27,42178.967756
13.83433,19,42216.153596
33.597696,44,42310.63288
40.503428,49,42409.175828
19.645438,27,42473.92778
38.332952,49,42575.797684
32.346247,49,42681.394644
12.926946,18,42726.695489
4.465897,8,42744.716794
2.0,3,42753.857622
14.791126,18,42789.323719
28.100972,42,42871.696704
36.439926,49,42969.242708
40.764064,49,43060.662892
40.832098,49,43167.550645
19.132521,25,43221.196121
25.243468,36,43287.414284
34.796767,49,43380.890862
0,1,43383.686592
35.992715,49,43484.420422
29.121636,40,43564.13226
37.838005,49,43668.770929
39.4589,49,43780.847772
34.584652,49,43879.05447
36.17567,49,43983.074633
28.836802,37,44059.958726
13.149926,19,44096.00491
4.297415,6,44111.474722
38.94161,49,44222.272416
42.458314,49,44314.371567
28.295989,36,44383.844054
39.954217,49,44474.606803
22.392409,29,44529.71475
0,1,44532.571723
38.176379,49,44637.456771
39.342042,49,44731.985285
7.477433,12,44752.455694
37.436247,49,44858.014874
38.351198,49,44953.300509
14.4364,18,44998.6103
6.646506,10,45025.286136
9.08213,12,45051.797409
40.822092,49,45155.776379
