#{"t_start": 1624274309.5936103, "env_id": "mario_puzzle-v0"}
r,l,t
3.341441,5,19.376517
6.046622,9,44.675726
13.219889,23,109.542161
26.797179,43,223.498301
22.439873,35,306.464674
15.470472,29,388.318851
37.295668,49,516.336937
0,1,519.522208
25.335754,39,623.320716
8.469541,13,657.20778
5.53921,10,683.914789
0,1,689.208365
3.817294,6,705.231477
5.181298,11,735.433597
3.048174,5,748.251683
6.362087,9,768.317174
1.283809,3,774.440116
9.462791,19,824.729112
12.748082,21,878.247182
0.570626,2,881.4795
4.865494,14,914.411461
19.49955,35,1010.521811
8.373628,12,1039.05329
6.215159,15,1077.798486
5.88089,8,1096.638735
10.463021,17,1143.634907
17.764568,31,1224.056891
11.000634,17,1265.530121
20.140595,27,1340.840167
18.909719,35,1437.486559
26.016307,38,1543.241491
2.512737,5,1553.603392
17.958987,26,1622.717708
2.262299,4,1630.614963
1.769196,3,1642.70364
9.364692,17,1689.007371
0,1,1692.256495
0,1,1697.597004
0,1,1699.427922
3.0,4,1710.960709
2.0,3,1717.652605
7.623383,15,1762.478251
8.235575,12,1792.434421
14.115243,22,1858.980076
8.539579,13,1897.155302
9.476151,15,1932.30846
6.928871,12,1962.495879
1.197322,4,1970.280959
1.937159,3,1976.515194
0,1,1978.030565
13.91507,24,2049.408356
10.016997,16,2093.977265
3.209234,5,2105.353634
32.0908,49,2238.44721
13.44694,18,2287.103902
2.200564,10,2308.428662
8.606872,15,2346.533391
12.435412,21,2398.970443
31.807661,49,2524.430175
15.541382,20,2575.784974
12.21141,18,2625.560289
1.215754,3,2631.27356
3.697513,5,2643.07142
0.477895,2,2648.954161
0.884347,3,2660.899844
6.478947,10,2689.768402
24.858004,48,2811.489956
17.822706,30,2884.438509
19.39237,39,2986.426379
11.004904,15,3026.702024
7.534997,10,3054.583255
0,1,3055.89417
12.905344,21,3109.761826
34.323153,49,3236.090296
14.41207,23,3299.673814
9.93324,19,3345.083248
13.071421,22,3400.28403
7.621382,14,3435.3868
6.926141,11,3464.770255
1.0,2,3469.066343
1.998208,6,3482.794028
21.964708,32,3567.852175
30.299804,44,3676.959675
3.137911,5,3690.842541
5.39951,9,3714.913405
3.06143,11,3741.460022
5.476692,9,3765.376313
9.968766,24,3821.333479
0.438804,5,3833.978505
9.715716,16,3875.72059
12.280197,20,3918.261724
4.775952,8,3940.67878
5.952807,14,3980.223844
16.761764,27,4049.394111
23.070347,35,4127.524638
3.933416,5,4141.866587
1.672461,3,4149.784975
17.441101,33,4237.38264
2.694285,7,4253.52929
3.0,4,4260.803257
13.016656,16,4303.591289
33.513434,49,4430.678311
0.514065,2,4433.87627
0,1,4440.394377
6.593469,11,4468.357892
8.037077,12,4493.383163
10.050082,20,4540.500527
6.780085,13,4574.162921
1.929622,4,4587.243723
8.239939,15,4631.050334
0,1,4633.398943
2.035891,5,4648.049298
23.088071,31,4719.68058
31.714354,49,4834.202862
6.782667,9,4860.101684
28.11483,43,4960.496602
40.635402,49,5085.550943
31.860469,49,5205.531898
17.16643,28,5267.355724
27.297174,40,5360.064149
8.085071,12,5393.840305
5.667698,10,5417.85582
6.078,8,5437.837826
4.584434,9,5466.112653
17.735349,26,5531.132067
4.601449,11,5556.632639
13.403255,22,5615.809776
32.093862,49,5744.607112
27.023906,41,5850.861788
8.17239,10,5875.741731
5.610302,8,5893.815021
7.059651,10,5918.653255
28.528058,36,6010.079705
-0.008398,2,6012.678962
1.0,2,6016.365083
14.751795,22,6067.625317
11.163066,15,6104.173163
28.127935,38,6196.014702
14.3272,22,6256.107282
0.424677,2,6261.500535
4.749866,9,6287.70686
7.046174,10,6314.151698
35.523428,49,6438.554131
3.594145,5,6451.387378
27.495369,49,6578.687196
5.120248,8,6599.706036
-0.098436,2,6606.243593
4.933285,6,6623.363507
15.485199,26,6690.65115
7.034589,12,6727.428842
4.807179,11,6754.084113
18.194052,27,6820.834621
12.317417,23,6880.478203
18.481843,27,6947.803153
6.006347,12,6980.543528
11.810302,18,7034.77524
0,1,7038.644537
1.424787,3,7047.089835
18.270822,27,7120.516337
18.478901,33,7204.512295
15.045885,29,7286.781698
9.697363,15,7321.933614
7.77347,12,7352.249447
1.153189,4,7362.521895
7.987136,14,7388.793545
10.195739,15,7426.305206
6.572053,9,7446.671909
25.742897,49,7569.008917
1.225338,4,7578.47893
30.03094,46,7701.33481
21.642305,47,7831.040266
1.612202,5,7845.969108
0,1,7848.420262
34.004953,49,7967.16836
13.48957,22,8021.430545
3.860404,6,8035.360501
4.31283,7,8052.154169
7.479975,19,8101.30936
12.711165,17,8139.345832
12.060772,16,8172.487741
5.193278,7,8189.408027
4.747753,7,8209.599909
0.314696,2,8219.254977
6.948331,14,8250.527698
16.914062,29,8323.997467
0.480713,5,8337.320215
17.408375,25,8402.939727
3.865836,6,8417.904769
1.379711,4,8430.266194
30.756195,49,8556.949923
5.724409,11,8588.250506
6.522362,12,8616.227819
35.157088,49,8740.9023
7.451892,11,8775.75531
16.856242,21,8832.421965
6.321976,8,8856.754654
2.413022,6,8869.740328
35.565569,49,8987.049904
2.623824,4,9000.804104
11.61079,22,9058.565732
10.15476,18,9097.80067
38.503136,49,9226.511982
11.426581,25,9282.54224
6.192346,13,9317.281375
18.10577,30,9389.979324
6.902204,12,9418.222618
17.83136,26,9479.64601
6.587139,9,9504.379811
0,1,9508.593313
4.650088,12,9537.072356
17.921476,26,9596.600036
5.198756,11,9622.198762
27.759267,49,9748.069949
6.828821,11,9774.252276
2.628395,5,9789.239206
35.637671,49,9908.629347
35.688143,49,10027.549111
16.675359,29,10097.746621
32.322226,49,10208.192939
19.31359,35,10297.100167
34.207789,49,10412.583082
37.741466,49,10533.556986
9.878756,17,10571.159062
6.960981,11,10595.166173
20.743502,33,10665.28954
16.171817,23,10718.04649
3.767991,5,10730.539385
0,1,10733.830635
24.666135,35,10808.602313
0.667589,2,10814.536946
15.217932,23,10865.482464
8.785749,12,10889.958102
0.092535,3,10899.097757
2.899428,5,10906.929594
22.828903,31,10981.670735
1.143456,3,10987.956988
13.320054,25,11052.514648
3.851742,6,11065.151409
8.626442,13,11097.485542
6.514576,12,11126.547336
29.332827,49,11256.358522
24.556786,35,11338.20345
6.427601,12,11368.639534
1.625507,4,11377.420599
29.179299,36,11462.748675
39.892317,49,11577.431439
7.858341,13,11612.31152
1.812434,5,11622.435442
13.213007,20,11676.981331
1.0,2,11682.42416
3.084661,5,11692.337026
17.991436,28,11756.372388
1.0,2,11763.31446
5.59566,10,11792.677155
36.033951,49,11913.831116
35.304022,49,12030.720194
27.671767,43,12122.663852
3.877487,5,12135.676208
11.26884,19,12184.090552
18.258311,27,12259.036386
22.721326,33,12342.786197
34.327359,49,12458.91634
11.683317,14,12489.181055
35.500814,47,12587.771953
2.796307,6,12603.32102
34.273322,49,12726.681644
4.829147,7,12744.846533
29.281589,43,12848.493612
14.299152,18,12890.653663
21.012201,28,12955.499273
11.545082,22,13007.019462
6.065634,8,13023.940646
9.560581,14,13054.139925
1.669608,4,13065.688785
5.924458,9,13091.344141
23.744138,34,13169.783336
9.365695,15,13202.256987
36.056186,49,13311.570872
2.809064,4,13325.807323
19.170862,30,13388.953581
4.033025,6,13399.402697
4.312793,7,13415.257145
28.321846,41,13502.199938
11.090652,19,13554.677543
3.825671,7,13567.280827
21.794595,27,13629.838507
2.344737,5,13643.560507
13.177642,21,13687.40416
30.697445,43,13789.143264
6.181291,12,13819.369045
1.807205,4,13829.691077
4.777157,7,13848.805533
33.113598,46,13958.238767
32.715143,48,14062.835652
32.054395,49,14169.177926
0,1,14171.356531
9.514724,16,14213.115794
12.130906,22,14269.569602
29.55746,49,14376.874926
34.211035,49,14488.685087
19.257084,29,14553.287733
1.0,2,14556.714409
24.902746,35,14631.230103
5.64147,11,14657.710354
16.659879,25,14718.893114
32.548163,49,14837.298896
22.694628,33,14911.813212
1.654853,3,14920.62642
7.220934,12,14956.193056
8.22952,10,14982.423119
10.266625,12,15013.813977
34.411367,49,15129.199178
16.353229,20,15181.459737
8.779161,16,15222.81441
9.8274,20,15272.007799
31.280696,49,15378.711094
1.0,2,15383.430825
33.135558,49,15497.773058
29.340651,41,15598.309086
3.725532,5,15611.402886
0.234462,2,15614.128958
14.807363,23,15665.374298
8.829128,13,15692.210054
2.0,3,15697.390058
33.082445,49,15809.171814
31.176393,49,15929.314161
5.004601,7,15947.400335
1.480693,3,15959.995341
0,1,15961.078764
8.2236,12,15993.489046
33.548242,49,16105.395431
2.348488,6,16116.493499
7.536922,10,16142.970904
30.569966,41,16233.882194
24.097083,37,16314.204145
0,1,16319.026371
3.671074,7,16332.809215
16.70467,24,16392.567525
22.636326,32,16471.135345
21.812925,28,16527.789325
12.052812,15,16563.27933
8.611686,18,16609.176093
7.690221,14,16638.36182
34.373229,49,16763.28753
14.199656,19,16805.400286
1.832091,3,16810.70535
7.444262,14,16846.843565
5.98999,8,16864.474396
21.577649,32,16940.187093
15.959271,21,16987.561096
1.845433,4,17000.012831
30.287501,46,17097.531404
0.808865,5,17109.777583
10.901049,22,17159.590144
13.25012,17,17195.318306
9.98567,17,17232.121065
3.854764,8,17251.838308
32.635123,49,17369.418302
3.776687,6,17384.483015
8.355487,13,17416.098596
11.806852,17,17461.88153
31.773212,49,17572.100537
29.08346,37,17654.469964
8.358634,16,17691.238599
3.346561,5,17704.666645
5.745843,11,17726.786439
11.53244,16,17755.636122
1.201661,4,17764.234188
32.527569,49,17863.387235
20.961461,31,17928.794435
12.710164,16,17968.790579
1.972327,5,17984.579086
31.847476,49,18100.627269
1.548896,5,18111.721292
11.001883,17,18149.355783
1.0,2,18155.269355
6.900604,9,18177.4971
6.209098,10,18201.860587
3.340776,6,18216.579635
3.895503,10,18241.315292
1.586078,4,18252.435853
11.811701,18,18295.782224
26.654056,44,18403.418566
4.895734,12,18429.822669
33.667079,49,18540.4063
0,1,18542.641016
6.566896,14,18570.785214
29.033045,49,18694.924716
13.531523,22,18742.325432
37.501947,49,18840.793116
5.511308,9,18863.81492
15.702567,22,18909.360119
0,1,18911.10808
1.619572,6,18924.958132
3.728506,6,18936.365662
33.288258,49,19047.9291
1.0,2,19051.394372
1.378482,5,19065.864992
12.887569,19,19113.690455
17.013959,22,19167.885962
2.008517,7,19182.100547
20.712764,29,19249.987919
36.188983,49,19360.444334
20.851616,29,19421.847359
11.539951,20,19461.116034
15.335003,25,19526.915908
21.598225,31,19595.755027
27.313405,42,19681.291435
5.555569,11,19698.92198
26.856805,38,19787.336366
28.98028,39,19876.93749
31.317672,49,19980.181229
35.577888,49,20092.044359
27.879592,46,20195.975438
36.213637,49,20295.619241
24.284788,35,20376.858458
34.257269,49,20484.175316
37.98918,49,20594.65116
28.2693,41,20683.319985
0.699556,4,20695.697847
17.047469,27,20760.419888
16.762574,24,20817.300069
25.651676,36,20896.84783
17.01285,26,20953.813549
4.545838,9,20971.986515
31.356408,41,21059.983907
7.377934,9,21076.251788
38.72422,49,21199.400736
29.384853,36,21276.188996
37.295471,49,21386.239192
17.462907,38,21475.928281
0.826659,6,21489.098955
9.472979,14,21519.424357
5.522263,9,21536.462474
10.699181,16,21579.915093
17.443049,23,21627.965987
2.948094,8,21648.059363
8.049937,10,21667.855437
13.431158,22,21721.709648
21.175367,29,21788.673438
36.878258,46,21885.60981
33.34364,49,21985.743463
15.175293,22,22031.847479
32.515822,40,22117.1809
